Time,Extension,Load
0,0,0.09762
0.1,0.00016,0.17019
0.2,0.00134,0.63997
0.3,0.00225,1.17897
0.4,0.00346,2.19505
0.5,0.00415,3.05457
0.6,0.00496,3.49261
0.7,0.00589,4.02307
0.8,0.00662,4.95368
0.9,0.00734,5.54804
1,0.00854,6.17609
1.1,0.00913,6.82889
1.2,0.00988,7.16372
1.3,0.01098,8.05802
1.4,0.01162,8.4257
1.5,0.01232,9.03992
1.6,0.01342,9.4083
1.7,0.01422,10.2922
1.8,0.01495,10.91185
1.9,0.01586,11.29573
2,0.01666,11.88685
2.1,0.01733,12.51905
2.2,0.01851,13.09396
2.3,0.01921,13.7548
2.4,0.01987,14.17546
2.5,0.02092,14.9256
2.6,0.0217,15.45157
2.7,0.02234,15.75107
2.8,0.0233,16.29966
2.9,0.02427,16.99011
3,0.02494,17.88563
3.1,0.02582,18.31726
3.2,0.02671,19.34118
3.3,0.02737,19.0201
3.4,0.02834,19.955
3.5,0.0293,20.94902
3.6,0.02989,21.37971
3.7,0.03086,22.13914
3.8,0.03179,22.92108
3.9,0.03238,23.20089
4,0.03321,23.83255
4.1,0.03431,24.81575
4.2,0.03498,25.04557
4.3,0.03579,25.90554
4.4,0.03675,26.56656
4.5,0.03739,27.18048
4.6,0.03822,27.66301
4.7,0.03935,29.17269
4.8,0.03994,29.52882
4.9,0.04077,29.81026
5,0.04184,30.35837
5.1,0.04243,31.36984
5.2,0.04315,31.76666
5.3,0.0443,32.48048
5.4,0.04503,33.56801
5.5,0.04575,33.81853
5.6,0.04671,34.73765
5.7,0.04744,35.10151
5.8,0.04819,35.46298
5.9,0.04937,36.65291
6,0.04998,37.11276
6.1,0.05073,37.65679
6.2,0.0518,38.29531
6.3,0.0525,39.21171
6.4,0.05317,39.24507
6.5,0.05421,40.10156
6.6,0.05507,40.68368
6.7,0.05577,41.25634
6.8,0.05668,41.8917
6.9,0.05751,42.27154
7,0.05821,42.91754
7.1,0.05928,43.67972
7.2,0.06008,44.2233
7.3,0.0607,44.18826
7.4,0.06174,45.08646
7.5,0.06257,45.81164
7.6,0.06319,46.25716
7.7,0.0641,46.44135
7.8,0.06512,46.846
7.9,0.06579,47.40259
8,0.06667,47.74083
8.1,0.06755,48.21862
8.2,0.06822,47.65961
8.3,0.06913,48.76931
8.4,0.07015,49.31702
8.5,0.07071,49.09672
8.6,0.07168,49.06274
8.7,0.07264,49.86314
8.8,0.07323,50.29226
8.9,0.07401,50.2095
9,0.07516,50.2173
9.1,0.07583,50.53441
9.2,0.07663,51.24243
9.3,0.07754,51.58331
9.4,0.07824,51.21682
9.5,0.07904,51.39063
9.6,0.0802,52.40248
9.7,0.08079,52.6844
9.8,0.08159,52.71176
9.9,0.08266,52.92593
10,0.08328,53.41657
10.1,0.084,53.92957
10.2,0.08512,53.94889
10.3,0.08587,54.27214
10.4,0.0866,54.82587
10.5,0.08754,55.16537
10.6,0.08829,55.52256
10.7,0.08904,55.41092
10.8,0.09019,56.20833
10.9,0.09086,56.60275
11,0.09155,57.05882
11.1,0.09265,56.82721
11.2,0.09335,57.2726
11.3,0.09399,57.67194
11.4,0.09504,58.03489
11.5,0.09592,58.03815
11.6,0.09659,58.61637
11.7,0.09753,59.11781
11.8,0.09836,59.23436
11.9,0.09903,59.53697
12,0.10007,60.18534
12.1,0.1009,60.16032
12.2,0.10154,60.91361
12.3,0.10256,60.92761
12.4,0.10342,60.82846
12.5,0.10401,61.16607
12.6,0.10495,61.44707
12.7,0.10596,61.91563
