MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.02002	s	4/15/2019 7:20:11 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
9.9793501	-95.247963	0.024902344
9.9792089	-96.737747	0.034667969
9.9789486	-98.82283	0.044433594
9.9784842	-98.320648	0.054199219
9.9788237	-96.255142	0.063964844
9.9784937	-90.650719	0.073730469
9.9793844	-90.827591	0.083496094
9.9808121	-92.628006	0.093261719
9.9808817	-94.843773	0.10302734
9.9821129	-96.130806	0.11279297
9.9836731	-94.558388	0.12255859
9.9832563	-94.654701	0.13232422
9.9856472	-90.395134	0.14208984
9.9855127	-88.700363	0.15185547
9.9872265	-88.401711	0.16162109
9.9879446	-93.666214	0.17138672
9.9879217	-94.883408	0.18115234
9.9889097	-91.806969	0.19091797
9.9897833	-87.519371	0.20068359
9.990366	-87.122124	0.21044922
9.9915466	-86.934174	0.22021484
9.9932194	-89.726036	0.22998047
9.9923286	-90.929871	0.23974609
9.994031	-91.388039	0.24951172
9.9954329	-90.100494	0.25927734
9.995224	-83.769432	0.26904297
9.9972439	-83.239471	0.27880859
9.9974346	-84.37114	0.28857422
9.9986725	-87.740364	0.29833984
9.9990873	-88.909668	0.30810547
9.9993954	-83.224419	0.31787109
10.000704	-82.443306	0.32763672
10.001413	-78.677628	0.33740234
10.002741	-81.052139	0.34716797
10.003546	-84.262749	0.35693359
10.002639	-85.71167	0.36669922
10.005272	-87.269463	0.37646484
10.004616	-80.696022	0.38623047
10.006868	-74.977509	0.39599609
10.006383	-77.346573	0.40576172
10.007078	-80.027306	0.41552734
10.008665	-85.651291	0.42529297
10.00866	-81.17112	0.43505859
10.008972	-78.766617	0.44482422
10.011559	-73.821129	0.45458984
10.012303	-74.815857	0.46435547
10.012329	-76.662376	0.47412109
10.012846	-79.580353	0.48388672
10.014253	-81.569466	0.49365234
10.015262	-78.203911	0.50341797
10.015419	-72.845802	0.51318359
10.016393	-69.317337	0.52294922
10.017624	-72.065109	0.53271484
10.018384	-77.178642	0.54248047
10.019175	-77.883118	0.55224609
10.019695	-73.686157	0.56201172
10.02092	-69.071892	0.57177734
10.021229	-69.259644	0.58154297
10.022777	-67.838554	0.59130859
10.022663	-69.317154	0.60107422
10.025482	-75.952393	0.61083984
10.025387	-71.992149	0.62060547
10.025529	-70.342178	0.63037109
10.026373	-65.95237	0.64013672
10.027349	-63.855179	0.64990234
10.027416	-70.092361	0.65966797
10.028152	-70.018402	0.66943359
10.029715	-69.58989	0.67919922
10.030742	-67.760147	0.68896484
10.031585	-65.764023	0.69873047
10.03167	-62.865295	0.70849609
10.032817	-60.820621	0.71826172
10.034167	-67.106857	0.72802734
10.034864	-68.005905	0.73779297
10.034863	-66.549408	0.74755859
10.035785	-62.916859	0.75732422
10.037962	-58.979427	0.76708984
10.037004	-63.07999	0.77685547
10.038474	-61.139767	0.78662109
10.039741	-61.477161	0.79638672
10.040795	-63.80695	0.80615234
10.039974	-63.252808	0.81591797
10.041053	-59.341263	0.82568359
10.043069	-55.164066	0.83544922
10.043797	-56.450485	0.84521484
10.044252	-57.46648	0.85498047
10.0455	-63.721329	0.86474609
10.045514	-61.198685	0.87451172
10.048584	-56.99712	0.88427734
10.04763	-56.059196	0.89404297
10.048422	-54.724697	0.90380859
10.049081	-54.288479	0.91357422
10.050033	-56.705399	0.92333984
10.050375	-58.82542	0.93310547
10.052033	-58.493855	0.94287109
10.052987	-51.324978	0.95263672
10.053287	-48.935257	0.96240234
10.054794	-49.421146	0.97216797
10.055158	-55.947712	0.98193359
10.055837	-57.504002	0.99169922
10.056739	-53.840931	1.0014648
10.057852	-51.998028	1.0112305
10.058294	-46.240192	1.0209961
10.059175	-45.50465	1.0307617
10.060228	-48.399578	1.0405273
10.06068	-52.550781	1.050293
10.061663	-54.548893	1.0600586
10.062638	-50.899521	1.0698242
10.064034	-43.308311	1.0795898
10.064076	-43.421043	1.0893555
10.064666	-46.613358	1.0991211
10.064672	-51.419796	1.1088867
10.066339	-49.391586	1.1186523
10.067049	-47.028824	1.128418
10.067914	-42.114021	1.1381836
10.069589	-40.440559	1.1479492
10.068565	-41.791946	1.1577148
10.070378	-43.885662	1.1674805
10.069592	-49.447948	1.1772461
10.072328	-48.05732	1.1870117
10.072601	-40.368557	1.1967773
10.074757	-37.523205	1.206543
10.074531	-39.577305	1.2163086
10.075392	-43.551491	1.2260742
10.075576	-44.371159	1.2358398
10.076372	-44.046356	1.2456055
10.077862	-40.114796	1.2553711
10.078551	-39.19511	1.2651367
10.079319	-34.722916	1.2749023
10.08053	-37.575603	1.284668
10.081848	-41.325878	1.2944336
10.081615	-40.742462	1.3041992
10.082814	-38.753868	1.3139648
10.084051	-33.242462	1.3237305
10.083453	-33.950001	1.3334961
10.08466	-34.741562	1.3432617
10.085649	-37.105122	1.3530273
10.087506	-38.345352	1.362793
10.087241	-36.813267	1.3725586
10.088912	-36.44384	1.3823242
10.089384	-32.158009	1.3920898
10.089395	-28.787228	1.4018555
10.09025	-32.949623	1.4116211
10.091099	-35.253323	1.4213867
10.09201	-35.776974	1.4311523
10.093172	-33.303379	1.440918
10.093923	-27.285851	1.4506836
10.094303	-29.242203	1.4604492
10.096181	-27.501146	1.4702148
10.096255	-28.951288	1.4799805
10.097762	-31.90143	1.4897461
10.098116	-32.36871	1.4995117
10.098682	-29.989914	1.5092773
10.099139	-24.303686	1.519043
10.100318	-21.037724	1.5288086
10.10089	-25.997969	1.5385742
10.102278	-29.820879	1.5483398
10.102901	-29.785923	1.5581055
10.103868	-26.048428	1.5678711
10.103773	-23.242203	1.5776367
10.105677	-20.146622	1.5874023
10.106068	-21.940992	1.597168
10.106833	-22.741493	1.6069336
10.108572	-27.38719	1.6166992
10.108266	-26.503723	1.6264648
10.10963	-21.052782	1.6362305
10.109736	-15.846387	1.6459961
10.110848	-16.384071	1.6557617
10.11237	-23.905186	1.6655273
10.11259	-23.494289	1.675293
10.114182	-21.618845	1.6850586
10.115307	-20.580656	1.6948242
10.11537	-14.882466	1.7045898
10.115828	-14.383454	1.7143555
10.116584	-14.781456	1.7241211
10.117751	-19.904345	1.7338867
10.118517	-23.804787	1.7436523
10.119116	-17.401846	1.753418
10.120179	-12.384857	1.7631836
10.121652	-10.199369	1.7729492
10.12226	-13.772101	1.7827148
10.12256	-16.872789	1.7924805
