MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			typeiv_0.3302_solid_090_monotonic_r0			Time:	20.021729	s	4/14/2019 3:34:30 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.039883	-117.79802	0.026611328
-40.040592	-121.06042	0.036376953
-40.041367	-122.85641	0.046142578
-40.040745	-118.12126	0.055908203
-40.041489	-116.09302	0.065673828
-40.040188	-115.27843	0.075439453
-40.039776	-119.08253	0.085205078
-40.040672	-121.02338	0.094970703
-40.038006	-118.93193	0.10473633
-40.036976	-119.49001	0.11450195
-40.03722	-114.99915	0.12426758
-40.036289	-112.8911	0.1340332
-40.035149	-111.96452	0.14379883
-40.034279	-113.76578	0.15356445
-40.033409	-120.15159	0.16333008
-40.033119	-117.83949	0.1730957
-40.031448	-111.62646	0.18286133
-40.030197	-109.07962	0.19262695
-40.029457	-109.23301	0.20239258
-40.029816	-114.93124	0.2121582
-40.028374	-113.71598	0.22192383
-40.027885	-111.37325	0.23168945
-40.02594	-111.2711	0.24145508
-40.025894	-109.63453	0.2512207
-40.025097	-106.57652	0.26098633
-40.023613	-107.22408	0.27075195
-40.022991	-111.06175	0.28051758
-40.021652	-110.33524	0.2902832
-40.021145	-109.18468	0.30004883
-40.021008	-103.91659	0.30981445
-40.02029	-104.11514	0.31958008
-40.01931	-105.30854	0.3293457
-40.017944	-107.356	0.33911133
-40.018295	-105.39558	0.34887695
-40.015923	-105.35625	0.35864258
-40.015266	-105.70456	0.3684082
-40.015739	-101.48582	0.37817383
-40.014755	-100.34216	0.38793945
-40.012115	-102.17017	0.39770508
-40.013008	-102.26688	0.4074707
-40.010807	-107.23138	0.41723633
-40.011398	-101.7566	0.42700195
-40.009945	-99.524483	0.43676758
-40.010078	-100.12021	0.4465332
-40.009155	-97.140694	0.45629883
-40.00798	-98.431099	0.46606445
-40.007759	-99.766708	0.47583008
-40.005817	-102.00484	0.4855957
-40.004715	-102.09709	0.49536133
-40.004986	-94.184052	0.50512695
-40.004375	-93.211632	0.51489258
-40.003567	-95.302589	0.5246582
-40.002979	-97.915344	0.53442383
-40.001152	-98.123886	0.54418945
-40.000919	-95.56739	0.55395508
-39.999802	-96.1036	0.5637207
-39.999458	-91.106544	0.57348633
-39.997398	-90.189255	0.58325195
-39.996952	-92.273094	0.59301758
-39.996777	-95.681252	0.6027832
-39.995232	-95.024712	0.61254883
-39.994179	-92.445633	0.62231445
-39.995186	-84.014084	0.63208008
-39.993633	-86.660706	0.6418457
-39.992558	-89.85672	0.65161133
-39.991814	-93.1464	0.66137695
-39.990559	-90.765121	0.67114258
-39.989006	-91.301804	0.6809082
-39.988876	-85.296593	0.69067383
-39.988251	-84.556725	0.70043945
-39.988243	-84.047707	0.71020508
-39.986145	-88.068138	0.7199707
-39.984921	-91.472237	0.72973633
-39.984825	-87.680046	0.73950195
-39.983711	-83.736542	0.74926758
-39.983803	-80.518738	0.7590332
-39.983532	-83.765129	0.76879883
-39.982952	-83.868362	0.77856445
-39.981346	-84.619377	0.78833008
-39.980824	-86.875984	0.7980957
-39.978725	-81.436722	0.80786133
-39.978027	-79.90126	0.81762695
-39.977489	-77.387291	0.82739258
-39.978287	-78.80201	0.8371582
-39.976936	-84.830513	0.84692383
-39.975792	-81.16465	0.85668945
-39.974182	-78.498642	0.86645508
-39.973038	-75.805038	0.8762207
-39.972942	-75.894867	0.88598633
-39.971619	-78.635315	0.89575195
-39.971615	-78.084244	0.90551758
-39.970329	-79.226372	0.9152832
-39.970703	-77.542458	0.92504883
-39.96899	-76.416298	0.93481445
-39.968452	-73.048218	0.94458008
-39.968422	-69.965309	0.9543457
-39.964279	-74.979744	0.96411133
-39.964809	-76.549156	0.97387695
-39.965996	-75.030533	0.98364258
-39.963806	-73.03968	0.9934082
-39.962715	-71.258354	1.0031738
-39.961937	-71.572182	1.0129395
-39.960743	-71.371399	1.0227051
-39.960712	-70.115738	1.0324707
-39.959759	-72.34082	1.0422363
-39.957882	-73.213966	1.052002
-39.959061	-68.341797	1.0617676
-39.957253	-66.99366	1.0715332
-39.956711	-66.095192	1.0812988
-39.956352	-66.637398	1.0910645
-39.954834	-70.898796	1.1008301
-39.95409	-67.740974	1.1105957
-39.953865	-66.403717	1.1203613
-39.952198	-65.987152	1.130127
-39.951881	-62.510544	1.1398926
-39.951233	-64.213158	1.1496582
-39.950489	-65.74411	1.1594238
-39.950329	-68.392227	1.1691895
-39.948318	-66.911331	1.1789551
-39.947521	-61.814949	1.1887207
-39.946686	-60.159256	1.1984863
-39.946587	-58.706753	1.208252
-39.945065	-62.541492	1.2180176
-39.944595	-65.3451	1.2277832
-39.943401	-60.689682	1.2375488
-39.943012	-62.231709	1.2473145
-39.941059	-57.82373	1.2570801
-39.941402	-55.884216	1.2668457
-39.940174	-58.250389	1.2766113
-39.939053	-61.182552	1.286377
-39.93779	-65.277412	1.2961426
-39.937298	-60.607655	1.3059082
-39.936859	-53.378262	1.3156738
-39.936531	-53.847454	1.3254395
-39.934853	-55.779987	1.3352051
-39.934662	-58.222954	1.3449707
-39.934792	-57.207283	1.3547363
-39.932667	-58.064888	1.364502
-39.932762	-52.982754	1.3742676
-39.930634	-50.129959	1.3840332
-39.931236	-51.310677	1.3937988
-39.929447	-52.486797	1.4035645
-39.929214	-57.444679	1.4133301
-39.929127	-55.510853	1.4230957
-39.928043	-51.569649	1.4328613
-39.927094	-46.243858	1.442627
-39.925663	-50.137074	1.4523926
-39.924576	-52.000534	1.4621582
-39.923588	-51.211643	1.4719238
-39.924	-53.062885	1.4816895
-39.921894	-49.567116	1.4914551
-39.92075	-47.712456	1.5012207
-39.92065	-45.45121	1.5109863
-39.920109	-44.5672	1.520752
-39.918785	-52.20306	1.5305176
-39.917549	-49.209473	1.5402832
-39.917835	-49.027908	1.5500488
-39.917358	-44.588871	1.5598145
-39.915611	-41.735378	1.5695801
-39.916119	-44.397247	1.5793457
-39.915195	-42.768524	1.5891113
-39.913845	-45.216938	1.598877
-39.912102	-44.976723	1.6086426
-39.911385	-44.459282	1.6184082
-39.910725	-42.144066	1.6281738
-39.910763	-37.69899	1.6379395
-39.909355	-40.901985	1.6477051
-39.908619	-41.801929	1.6574707
-39.906975	-41.888908	1.6672363
-39.907444	-40.664803	1.677002
-39.905334	-39.149601	1.6867676
-39.904961	-37.504158	1.6965332
