MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			typei_0.3302_solid_4545_monotonic_r0			Time:	20.017822	s	4/14/2019 3:06:31 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.041046	-161.74397	0.023193359
-40.040737	-161.53868	0.032958984
-40.040977	-163.7169	0.042724609
-40.040493	-165.30092	0.052490234
-40.039677	-161.21257	0.062255859
-40.038933	-161.05273	0.072021484
-40.039131	-161.2312	0.081787109
-40.038895	-158.31	0.091552734
-40.037518	-160.08919	0.10131836
-40.036827	-161.41425	0.11108398
-40.036709	-162.58997	0.12084961
-40.035244	-161.65569	0.13061523
-40.034561	-156.9534	0.14038086
-40.033585	-154.6104	0.15014648
-40.032234	-154.0092	0.15991211
-40.031803	-159.65977	0.16967773
-40.029892	-160.88893	0.17944336
-40.028866	-155.42995	0.18920898
-40.030067	-153.7914	0.19897461
-40.028431	-150.22681	0.20874023
-40.028122	-151.83005	0.21850586
-40.027313	-153.32042	0.22827148
-40.025536	-155.39803	0.23803711
-40.025547	-156.99608	0.24780273
-40.024426	-151.6658	0.25756836
-40.023655	-146.51201	0.26733398
-40.022636	-146.79684	0.27709961
-40.021641	-149.91602	0.28686523
-40.021954	-154.50577	0.29663086
-40.020039	-151.46358	0.30639648
-40.019753	-147.90356	0.31616211
-40.019016	-145.54369	0.32592773
-40.017803	-144.08179	0.33569336
-40.017105	-144.60648	0.34545898
-40.01582	-148.08194	0.35522461
-40.015259	-148.69157	0.36499023
-40.014339	-147.26558	0.37475586
-40.013718	-141.67505	0.38452148
-40.012478	-140.02557	0.39428711
-40.011909	-142.01369	0.40405273
-40.012039	-144.14458	0.41381836
-40.010715	-144.2093	0.42358398
-40.009525	-141.43163	0.43334961
-40.00964	-139.08214	0.44311523
-40.008053	-139.12666	0.45288086
-40.007423	-137.34381	0.46264648
-40.007294	-137.37578	0.47241211
-40.005642	-142.38811	0.48217773
-40.004936	-139.4603	0.49194336
-40.004097	-139.20828	0.50170898
-40.002979	-134.26826	0.51147461
-40.002605	-132.14894	0.52124023
-40.001129	-136.22652	0.53100586
-40.00164	-138.13176	0.54077148
-40.000195	-136.29539	0.55053711
-39.999828	-135.14636	0.56030273
-39.998817	-133.70673	0.57006836
-39.996967	-133.24037	0.57983398
-39.996998	-129.89862	0.58959961
-39.995495	-131.99646	0.59936523
-39.994347	-134.15738	0.60913086
-39.993813	-133.54803	0.61889648
-39.994164	-130.69464	0.62866211
-39.992138	-127.10682	0.63842773
-39.992004	-128.08099	0.64819336
-39.991142	-128.78113	0.65795898
-39.989643	-128.4641	0.66772461
-39.98946	-129.54205	0.67749023
-39.988792	-129.53056	0.68725586
-39.988964	-127.25645	0.69702148
-39.986801	-124.7397	0.70678711
-39.986137	-121.79611	0.71655273
-39.984325	-124.15506	0.72631836
-39.984352	-129.18515	0.73608398
-39.983997	-127.57662	0.74584961
-39.983776	-123.60126	0.75561523
-39.981853	-122.65458	0.76538086
-39.981606	-119.17197	0.77514648
-39.980652	-120.67552	0.78491211
-39.98027	-120.43731	0.79467773
-39.978653	-124.72021	0.80444336
-39.97794	-123.72925	0.81420898
-39.977791	-118.17198	0.82397461
-39.976528	-114.82236	0.83374023
-39.976063	-115.15761	0.84350586
-39.975071	-120.80974	0.85327148
-39.973038	-122.37664	0.86303711
-39.973625	-118.18586	0.87280273
-39.973011	-117.06912	0.88256836
-39.971703	-111.89701	0.89233398
-39.969994	-112.90738	0.90209961
-39.969994	-113.89859	0.91186523
-39.968079	-113.72093	0.92163086
-39.968513	-119.78641	0.93139648
-39.967396	-113.65117	0.94116211
-39.966427	-109.01276	0.95092773
-39.966393	-108.43533	0.96069336
-39.965832	-109.21337	0.97045898
-39.963421	-115.181	0.98022461
-39.963814	-113.09931	0.98999023
-39.962711	-110.51645	0.99975586
-39.96188	-108.32426	1.0095215
-39.960999	-106.41145	1.0192871
-39.959999	-106.56458	1.0290527
-39.958828	-108.21561	1.0388184
-39.958958	-109.84901	1.048584
-39.957973	-108.47789	1.0583496
-39.956787	-106.15712	1.0681152
-39.955837	-101.2846	1.0778809
-39.956814	-102.21688	1.0876465
-39.954361	-104.42628	1.0974121
-39.95488	-105.56806	1.1071777
-39.952377	-104.05692	1.1169434
-39.952106	-101.92439	1.126709
-39.951103	-101.60533	1.1364746
-39.949402	-99.049767	1.1462402
-39.950134	-98.883148	1.1560059
-39.948635	-100.34422	1.1657715
-39.946434	-100.80746	1.1755371
-39.946663	-101.45296	1.1853027
-39.946381	-97.130608	1.1950684
-39.945736	-93.531837	1.204834
-39.944489	-97.68644	1.2145996
-39.944237	-96.254692	1.2243652
-39.943932	-98.360291	1.2341309
-39.941982	-96.255417	1.2438965
-39.94136	-95.827034	1.2536621
-39.939781	-96.489807	1.2634277
-39.939789	-90.782639	1.2731934
-39.939831	-92.037384	1.282959
-39.93716	-92.127327	1.2927246
-39.938553	-96.517273	1.3024902
-39.937126	-94.558571	1.3122559
-39.93565	-89.17128	1.3220215
-39.935146	-90.440079	1.3317871
-39.933975	-88.534111	1.3415527
-39.933208	-88.687706	1.3513184
-39.932728	-90.138916	1.361084
-39.932335	-91.622787	1.3708496
-39.929848	-91.100861	1.3806152
-39.929626	-86.638794	1.3903809
-39.929611	-81.608795	1.4001465
-39.929138	-86.230629	1.4099121
-39.92807	-89.093674	1.4196777
-39.927475	-89.075607	1.4294434
-39.9263	-87.736122	1.439209
-39.926884	-83.097153	1.4489746
-39.924519	-80.375229	1.4587402
-39.923351	-81.215965	1.4685059
-39.922806	-81.703003	1.4782715
-39.921345	-85.390862	1.4880371
-39.920635	-85.616783	1.4978027
-39.920452	-81.565727	1.5075684
-39.918438	-76.216209	1.517334
-39.918514	-75.777077	1.5270996
-39.918179	-80.226097	1.5368652
-39.916847	-83.139969	1.5466309
-39.915134	-80.50737	1.5563965
-39.914375	-77.658806	1.5661621
-39.914452	-74.738869	1.5759277
-39.914085	-74.892639	1.5856934
-39.912403	-75.832733	1.595459
-39.912354	-75.571495	1.6052246
-39.911697	-81.123413	1.6149902
-39.910397	-76.353188	1.6247559
-39.909275	-71.922905	1.6345215
-39.909039	-69.062935	1.6442871
-39.90686	-70.12764	1.6540527
-39.907486	-76.434151	1.6638184
-39.906208	-74.463516	1.673584
-39.90691	-70.772491	1.6833496
-39.905434	-70.560822	1.6931152
