MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.026123	s	4/15/2019 6:24:07 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
9.9796724	-110.48837	0.03125
9.9797812	-106.16497	0.041015625
9.9801064	-100.68279	0.05078125
9.9795256	-102.07758	0.060546875
9.9790401	-105.58176	0.0703125
9.9788227	-109.99977	0.080078125
9.9783993	-107.39268	0.08984375
9.9791374	-106.28214	0.099609375
9.9811764	-105.36515	0.109375
9.9812393	-100.33862	0.11914063
9.9823217	-98.200279	0.12890625
9.9832897	-103.24722	0.13867188
9.9842644	-109.08489	0.1484375
9.985466	-105.75964	0.15820313
9.9853868	-100.99075	0.16796875
9.9859028	-98.141144	0.17773438
9.9872837	-97.95327	0.1875
9.9875851	-100.91402	0.19726563
9.9895	-102.49639	0.20703125
9.9902	-104.7204	0.21679688
9.9905777	-99.554306	0.2265625
9.9906778	-98.659851	0.23632813
9.9914103	-95.323051	0.24609375
9.9934616	-92.809303	0.25585938
9.9944811	-101.00453	0.265625
9.9933605	-99.39003	0.27539063
9.9948492	-99.41996	0.28515625
9.9963312	-94.981674	0.29492188
9.9966097	-91.263092	0.3046875
9.9979305	-95.005508	0.31445313
9.9985209	-92.016556	0.32421875
9.999897	-93.610886	0.33398438
9.9996233	-96.245674	0.34375
10.000746	-93.874428	0.35351563
10.001781	-91.987701	0.36328125
10.001836	-85.98526	0.37304688
10.00318	-89.272118	0.3828125
10.004473	-91.779938	0.39257813
10.004974	-93.336823	0.40234375
10.00531	-92.665405	0.41210938
10.006583	-88.248489	0.421875
10.008214	-87.356087	0.43164063
10.007459	-84.92878	0.44140625
10.00948	-85.566612	0.45117188
10.010116	-88.484398	0.4609375
10.010433	-89.982368	0.47070313
10.010445	-88.960213	0.48046875
10.012135	-83.366905	0.49023438
10.012852	-79.317574	0.5
10.013031	-80.637238	0.50976563
10.014122	-86.074265	0.51953125
10.016045	-87.413902	0.52929688
10.017012	-84.712006	0.5390625
10.017478	-84.292595	0.54882813
10.017423	-76.5242	0.55859375
10.018476	-76.8256	0.56835938
10.019991	-79.481461	0.578125
10.02114	-83.393646	0.58789063
10.021447	-89.09713	0.59765625
10.02135	-79.153671	0.60742188
10.022561	-74.21257	0.6171875
10.023595	-72.159065	0.62695313
10.024426	-78.517448	0.63671875
10.0262	-81.346626	0.64648438
10.025818	-79.099403	0.65625
10.02676	-80.518303	0.66601563
10.027784	-72.156746	0.67578125
10.028232	-70.598923	0.68554688
10.028633	-73.247169	0.6953125
10.029872	-73.797447	0.70507813
10.030251	-81.036934	0.71484375
10.032266	-76.687523	0.72460938
10.032618	-70.916153	0.734375
10.032948	-69.608757	0.74414063
10.034216	-66.719276	0.75390625
10.03515	-73.256432	0.76367188
10.036795	-73.572128	0.7734375
10.036152	-72.894234	0.78320313
10.037633	-70.767357	0.79296875
10.037308	-67.250885	0.80273438
10.039303	-64.079987	0.8125
10.039564	-64.706543	0.82226563
10.040004	-71.202599	0.83203125
10.041862	-71.775383	0.84179688
10.042953	-70.33371	0.8515625
10.042928	-61.226379	0.86132813
10.044296	-61.22168	0.87109375
10.044763	-64.417175	0.88085938
10.045098	-64.952858	0.890625
10.046703	-66.777008	0.90039063
10.046846	-66.443962	0.91015625
10.048128	-64.438232	0.91992188
10.048266	-60.417282	0.9296875
10.048944	-56.611835	0.93945313
10.050151	-61.352402	0.94921875
10.051637	-62.190475	0.95898438
10.052065	-64.774673	0.96875
10.05282	-59.793152	0.97851563
10.053304	-54.946419	0.98828125
10.054612	-58.651371	0.99804688
10.05498	-54.941574	1.0078125
10.056748	-56.953934	1.0175781
10.05662	-58.813305	1.0273438
10.058296	-59.227596	1.0371094
10.059132	-58.468937	1.046875
10.059546	-51.02636	1.0566406
10.061101	-50.784737	1.0664063
10.061122	-53.638412	1.0761719
10.06133	-57.167397	1.0859375
10.061805	-56.612686	1.0957031
10.063589	-50.926933	1.1054688
10.064099	-50.967358	1.1152344
10.065904	-49.116821	1.125
10.065829	-48.142586	1.1347656
10.066985	-52.191357	1.1445313
10.066192	-53.353683	1.1542969
10.068172	-54.854542	1.1640625
10.069479	-48.492119	1.1738281
10.069435	-43.15213	1.1835938
10.070161	-44.557789	1.1933594
10.072424	-48.845055	1.203125
10.07273	-52.860481	1.2128906
10.07323	-48.415623	1.2226563
10.074458	-47.088367	1.2324219
10.075236	-42.005939	1.2421875
10.076366	-41.126648	1.2519531
10.076027	-42.422604	1.2617188
10.078193	-45.694221	1.2714844
10.078099	-51.116776	1.28125
10.078526	-44.995632	1.2910156
10.079641	-40.031197	1.3007813
10.079645	-36.266312	1.3105469
10.081676	-37.913418	1.3203125
10.082071	-45.823711	1.3300781
10.08357	-42.804722	1.3398438
10.083747	-43.400986	1.3496094
10.085287	-37.257305	1.359375
10.085509	-35.502052	1.3691406
10.086482	-35.870415	1.3789063
10.086813	-34.391479	1.3886719
10.088917	-43.420372	1.3984375
10.088758	-40.937572	1.4082031
10.088941	-36.501942	1.4179688
10.090164	-32.285469	1.4277344
10.090774	-29.303328	1.4375
10.091427	-36.067139	1.4472656
10.092711	-37.332836	1.4570313
10.09356	-35.389732	1.4667969
10.093832	-35.213242	1.4765625
10.095744	-30.044184	1.4863281
10.095984	-30.233526	1.4960938
10.09531	-28.615282	1.5058594
10.097405	-30.803658	1.515625
10.098019	-33.929295	1.5253906
10.09836	-33.392273	1.5351563
10.099989	-29.029608	1.5449219
10.102108	-26.028502	1.5546875
10.101727	-27.124304	1.5644531
10.102701	-27.414564	1.5742188
10.102086	-28.423225	1.5839844
10.10552	-29.798622	1.59375
10.104652	-27.25539	1.6035156
10.105373	-26.77791	1.6132813
10.10617	-21.151844	1.6230469
10.10724	-22.910456	1.6328125
10.108941	-24.279419	1.6425781
10.109515	-28.440397	1.6523438
10.109265	-26.851774	1.6621094
10.110386	-21.947849	1.671875
10.110139	-23.535883	1.6816406
10.111979	-17.355541	1.6914063
10.11342	-19.563057	1.7011719
10.113368	-23.606112	1.7109375
10.114298	-24.640594	1.7207031
10.116125	-25.042934	1.7304688
10.115388	-16.240339	1.7402344
10.117182	-13.262349	1.75
10.117424	-16.516701	1.7597656
10.11882	-19.213753	1.7695313
10.120197	-22.601791	1.7792969
10.120106	-18.950357	1.7890625
10.12185	-18.074905	1.7988281
10.122207	-11.388167	1.8085938
