MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			low_high_4545_typei_monotonic			Time:	20.025879	s	4/13/2019 9:38:47 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
19.960487	-106.54787	0.031005859
19.960455	-93.29641	0.040771484
19.95973	-86.873459	0.050537109
19.959351	-93.666313	0.060302734
19.960737	-108.67022	0.070068359
19.960688	-114.68598	0.079833984
19.961452	-104.81989	0.089599609
19.961962	-96.785744	0.099365234
19.963432	-87.89698	0.10913086
19.965128	-91.083549	0.11889648
19.964741	-99.744919	0.12866211
19.965036	-108.26921	0.13842773
19.965195	-112.65704	0.14819336
19.967476	-100.7039	0.15795898
19.967466	-88.670425	0.16772461
19.968565	-85.277351	0.17749023
19.969406	-92.672165	0.18725586
19.969954	-105.44838	0.19702148
19.970781	-106.88632	0.20678711
19.971735	-100.39866	0.21655273
19.972418	-93.672272	0.22631836
19.973499	-83.160721	0.23608398
19.973997	-85.645966	0.24584961
19.975002	-96.13298	0.25561523
19.975182	-105.13102	0.26538086
19.976894	-107.87457	0.27514648
19.977308	-91.741936	0.28491211
19.977978	-79.519157	0.29467773
19.978556	-79.320206	0.30444336
19.979218	-90.550713	0.31420898
19.980246	-101.25304	0.32397461
19.980331	-101.33181	0.33374023
19.982351	-96.637703	0.34350586
19.983337	-83.194626	0.35327148
19.983038	-74.453682	0.36303711
19.985039	-82.418556	0.37280273
19.985056	-93.986877	0.38256836
19.98699	-103.07211	0.39233398
19.987555	-98.875671	0.40209961
19.988066	-81.654633	0.41186523
19.989351	-73.359329	0.42163086
19.989552	-77.580696	0.43139648
19.990688	-88.913689	0.44116211
19.990118	-96.719955	0.45092773
19.991207	-97.394394	0.46069336
19.992729	-88.394211	0.47045898
19.993668	-77.386238	0.48022461
19.994196	-71.526283	0.48999023
19.994993	-78.83992	0.49975586
19.996811	-92.356468	0.50952148
19.997316	-96.226151	0.51928711
19.998199	-88.935829	0.52905273
19.997654	-76.218422	0.53881836
19.999655	-72.063759	0.54858398
19.999422	-74.686333	0.55834961
20.000851	-84.316811	0.56811523
20.001696	-92.098022	0.57788086
20.00268	-88.885513	0.58764648
20.002598	-81.30677	0.59741211
20.004461	-70.105942	0.60717773
20.004602	-66.025414	0.61694336
20.006514	-79.478027	0.62670898
20.006229	-86.235619	0.63647461
20.007795	-89.338463	0.64624023
20.007662	-79.93811	0.65600586
20.009359	-71.186539	0.66577148
20.009571	-67.263428	0.67553711
20.010563	-70.388588	0.68530273
20.011154	-79.884949	0.69506836
20.012188	-86.824783	0.70483398
20.013668	-84.29467	0.71459961
20.013735	-74.19828	0.72436523
20.014999	-62.728024	0.73413086
20.014742	-64.418465	0.74389648
20.017347	-74.371506	0.75366211
20.016859	-83.567085	0.76342773
20.017143	-83.351082	0.77319336
20.017906	-74.149857	0.78295898
20.019184	-63.427574	0.79272461
20.020536	-60.725288	0.80249023
20.020184	-63.929222	0.81225586
20.021215	-75.072205	0.82202148
20.022163	-85.593025	0.83178711
20.022791	-77.238136	0.84155273
20.024136	-64.337021	0.85131836
20.025454	-55.931526	0.86108398
20.02696	-58.717346	0.87084961
20.026068	-71.486031	0.88061523
20.028149	-77.478325	0.89038086
20.028091	-79.837715	0.90014648
20.029068	-68.742622	0.90991211
20.029831	-55.217476	0.91967773
20.032156	-54.91114	0.92944336
20.032001	-61.439606	0.93920898
20.033106	-75.515915	0.94897461
20.033644	-80.404526	0.95874023
20.033516	-69.820709	0.96850586
20.034727	-57.727734	0.97827148
20.036003	-49.828087	0.98803711
20.036161	-56.839127	0.99780273
20.038916	-68.326294	1.0075684
20.037628	-73.920372	1.017334
20.038427	-71.866577	1.0270996
20.039728	-58.344597	1.0368652
20.041	-50.639843	1.0466309
20.04114	-50.116409	1.0563965
20.041122	-59.954811	1.0661621
20.042133	-73.037575	1.0759277
20.044319	-73.632774	1.0856934
20.044556	-59.592342	1.095459
20.045826	-50.880951	1.1052246
20.046865	-46.138737	1.1149902
20.04777	-53.921921	1.1247559
20.04829	-65.607574	1.1345215
20.04862	-69.821228	1.1442871
20.04904	-63.165932	1.1540527
20.050129	-51.589924	1.1638184
20.050398	-43.09444	1.173584
20.052071	-46.204006	1.1833496
20.052055	-57.9944	1.1931152
20.054014	-64.935577	1.2028809
20.055779	-64.168961	1.2126465
20.05567	-52.461132	1.2224121
20.056513	-43.998985	1.2321777
20.05831	-43.303009	1.2419434
20.058081	-50.662071	1.251709
20.058949	-60.252289	1.2614746
20.059437	-62.660625	1.2712402
20.060713	-58.124676	1.2810059
20.061329	-43.125336	1.2907715
20.063076	-37.431755	1.3005371
20.062017	-45.365578	1.3103027
20.062639	-52.518715	1.3200684
20.063498	-59.788605	1.329834
20.064857	-56.7869	1.3395996
20.066414	-45.474255	1.3493652
20.066385	-40.068665	1.3591309
20.067839	-36.711254	1.3688965
20.067846	-45.857861	1.3786621
20.068422	-57.133644	1.3884277
20.070202	-58.510937	1.3981934
20.070509	-49.555122	1.407959
20.072119	-35.646526	1.4177246
20.071905	-33.860424	1.4274902
20.073067	-39.198433	1.4372559
20.07444	-50.853512	1.4470215
20.074989	-56.459766	1.4567871
20.076096	-50.077168	1.4665527
20.077021	-40.077572	1.4763184
20.076811	-31.682331	1.486084
20.077387	-31.268906	1.4958496
20.078489	-42.017799	1.5056152
20.08003	-54.368736	1.5153809
20.080946	-54.47364	1.5251465
20.081146	-41.547527	1.5349121
20.082239	-30.48242	1.5446777
20.083309	-27.877028	1.5544434
20.083735	-38.127838	1.564209
20.084385	-47.768391	1.5739746
20.086655	-51.133251	1.5837402
20.086426	-45.296738	1.5935059
20.087082	-30.528572	1.6032715
20.088112	-25.811193	1.6130371
20.087917	-28.014639	1.6228027
20.08964	-41.986229	1.6325684
20.090536	-50.673149	1.642334
20.090944	-47.107445	1.6520996
20.091391	-32.641624	1.6618652
20.09309	-20.591282	1.6716309
20.092155	-25.301722	1.6813965
20.094511	-33.682671	1.6911621
20.094156	-42.849865	1.7009277
20.095667	-47.608711	1.7106934
20.096882	-32.09499	1.720459
20.097136	-24.792164	1.7302246
20.098967	-20.066214	1.7399902
20.099154	-24.054178	1.7497559
20.099592	-40.140125	1.7595215
20.101198	-42.298012	1.7692871
20.10095	-35.058575	1.7790527
20.101212	-24.812817	1.7888184
20.103992	-15.919277	1.798584
20.104259	-20.186165	1.8083496
