MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			low_high_4545_typei_monotonic			Time:	20.025879	s	4/13/2019 9:25:03 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
19.959269	-44.379257	0.030761719
19.958933	-64.250229	0.040527344
19.959213	-74.856331	0.050292969
19.958824	-74.59391	0.060058594
19.958982	-58.915783	0.069824219
19.959097	-44.62492	0.079589844
19.960581	-44.396099	0.089355469
19.96117	-51.28384	0.099121094
19.961681	-68.878006	0.10888672
19.962519	-75.042114	0.11865234
19.962257	-62.485035	0.12841797
19.964546	-47.866081	0.13818359
19.965057	-38.121643	0.14794922
19.96656	-48.066242	0.15771484
19.966753	-60.853596	0.16748047
19.967426	-68.560638	0.17724609
19.968117	-66.688477	0.18701172
19.968973	-49.717022	0.19677734
19.969101	-37.937084	0.20654297
19.970987	-39.593071	0.21630859
19.97146	-50.079674	0.22607422
19.972389	-67.190941	0.23583984
19.973242	-65.711876	0.24560547
19.973688	-53.192822	0.25537109
19.974989	-37.724854	0.26513672
19.975182	-34.890732	0.27490234
19.976048	-44.710655	0.28466797
19.976856	-55.064507	0.29443359
19.977484	-61.018768	0.30419922
19.978472	-56.241737	0.31396484
19.978897	-41.135925	0.32373047
19.980204	-31.921118	0.33349609
19.981127	-35.614174	0.34326172
19.9835	-49.830593	0.35302734
19.982876	-59.956158	0.36279297
19.983316	-57.975292	0.37255859
19.984318	-44.126099	0.38232422
19.98469	-33.133278	0.39208984
19.985992	-32.705162	0.40185547
19.987442	-41.158268	0.41162109
19.988462	-51.831108	0.42138672
19.98835	-55.875633	0.43115234
19.989548	-49.588554	0.44091797
19.990383	-35.748047	0.45068359
19.991322	-25.982754	0.46044922
19.991461	-33.343742	0.47021484
19.993402	-42.67123	0.47998047
19.994057	-54.625832	0.48974609
19.993708	-48.70002	0.49951172
19.993752	-36.572193	0.50927734
19.995844	-30.581245	0.51904297
19.996471	-25.67758	0.52880859
19.997858	-35.09565	0.53857422
19.998407	-45.68074	0.54833984
19.999264	-51.366123	0.55810547
19.999237	-42.553844	0.56787109
19.999577	-26.284708	0.57763672
20.002012	-20.905455	0.58740234
20.002684	-27.403078	0.59716797
20.003803	-43.385399	0.60693359
20.003738	-49.015045	0.61669922
20.005745	-41.862755	0.62646484
20.005159	-31.94467	0.63623047
20.006845	-20.550953	0.64599609
20.007103	-20.694416	0.65576172
20.007486	-33.53582	0.66552734
20.008204	-44.849903	0.67529297
20.009445	-47.508793	0.68505859
20.009953	-34.449551	0.69482422
20.011593	-17.620396	0.70458984
20.011644	-15.081597	0.71435547
20.013144	-25.545572	0.72412109
20.013828	-37.959839	0.73388672
20.014595	-43.277481	0.74365234
20.015335	-36.127087	0.75341797
20.016102	-19.823418	0.76318359
20.01741	-13.733657	0.77294922
20.018101	-15.312109	0.78271484
20.018496	-31.557459	0.79248047
20.019806	-42.543686	0.80224609
20.020372	-36.668747	0.81201172
20.020573	-23.804787	0.82177734
20.022629	-8.8977566	0.83154297
20.022415	-12.881373	0.84130859
20.024437	-24.70002	0.85107422
20.024681	-34.805962	0.86083984
20.025936	-37.131802	0.87060547
20.026308	-25.529789	0.88037109
20.027719	-15.362672	0.89013672
20.028481	-7.8172908	0.89990234
20.028898	-13.244193	0.90966797
20.028284	-31.016212	0.91943359
20.029348	-34.381599	0.92919922
20.030817	-27.900093	0.93896484
20.030802	-14.117118	0.94873047
20.032509	-5.8922062	0.95849609
20.034212	-9.9220352	0.96826172
20.034452	-19.650925	0.97802734
20.035261	-29.015968	0.98779297
20.035578	-30.055357	0.99755859
20.037003	-18.591452	1.0073242
20.037642	-5.6571784	1.0170898
20.037575	0.30053219	1.0268555
20.038876	-10.687364	1.0366211
20.040424	-23.460909	1.0463867
20.040262	-29.702595	1.0561523
20.041777	-19.311769	1.065918
20.041845	-6.842206	1.0756836
20.043509	-0.71992558	1.0854492
20.044434	-2.7956195	1.0952148
20.045387	-12.262253	1.1049805
20.045811	-23.767532	1.1147461
20.046791	-23.874241	1.1245117
20.046383	-10.706544	1.1342773
20.048822	3.7090557	1.144043
20.048107	4.0994978	1.1538086
20.048559	-4.1376872	1.1635742
20.050543	-19.98344	1.1733398
20.051113	-20.662413	1.1831055
20.051561	-10.929724	1.1928711
20.052877	-2.4513688	1.2026367
20.053967	9.0485258	1.2124023
20.05497	1.9561223	1.222168
20.054819	-11.008414	1.2319336
20.055933	-20.138575	1.2416992
20.057501	-17.860643	1.2514648
20.057806	-0.096061639	1.2612305
20.058535	11.573623	1.2709961
20.060255	10.175214	1.2807617
20.059668	-4.3520632	1.2905273
20.061619	-17.264194	1.300293
20.062368	-13.967389	1.3100586
20.062319	-5.0638256	1.3198242
20.062624	8.8144102	1.3295898
20.063448	14.46181	1.3393555
20.065533	5.8883281	1.3491211
20.066154	-8.0080013	1.3588867
20.066477	-16.44441	1.3686523
20.066938	-6.3379736	1.378418
20.066652	9.9951916	1.3881836
20.069	18.406502	1.3979492
20.070505	11.42085	1.4077148
20.070568	-0.94361228	1.4174805
20.0718	-12.014507	1.4272461
20.072367	-7.6786852	1.4370117
20.073595	5.9974065	1.4467773
20.074135	16.549507	1.456543
20.075148	19.944597	1.4663086
20.075777	8.0040197	1.4760742
20.076654	-4.4835119	1.4858398
20.07793	-7.8628922	1.4956055
20.077478	1.7372825	1.5053711
20.078737	18.162277	1.5151367
20.079872	23.671843	1.5249023
20.080454	13.635087	1.534668
20.081945	1.6515694	1.5444336
20.082497	-6.1940451	1.5541992
20.083891	1.7302088	1.5639648
20.083597	14.091056	1.5737305
20.085114	23.939547	1.5834961
20.085855	25.136665	1.5932617
20.085083	10.332586	1.6030273
20.08799	2.7774494	1.612793
20.087881	-2.0528486	1.6225586
20.088682	12.49797	1.6323242
20.089067	25.536516	1.6420898
20.089853	23.877979	1.6518555
20.091005	20.409666	1.6616211
20.091461	9.067997	1.6713867
20.092623	0.82417315	1.6811523
20.093983	8.7082739	1.690918
20.094595	21.210234	1.7006836
20.095583	31.481207	1.7104492
20.095961	28.154297	1.7202148
20.096804	15.550866	1.7299805
20.098845	5.6311269	1.7397461
20.099579	5.8405933	1.7495117
20.100229	18.43416	1.7592773
20.10022	29.728445	1.769043
20.100996	32.036945	1.7788086
20.101358	26.631956	1.7885742
20.103971	13.583831	1.7983398
20.102798	5.9880123	1.8081055
