MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			low_high_4545_typei_monotonic			Time:	20.018799	s	4/13/2019 9:34:06 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
19.956881	-162.74167	0.022949219
19.957577	-171.43367	0.032714844
19.957026	-171.08984	0.042480469
19.956688	-157.06964	0.052246094
19.95681	-143.74829	0.062011719
19.958166	-145.17987	0.071777344
19.958189	-160.35492	0.081542969
19.95949	-173.29414	0.091308594
19.960184	-169.22282	0.10107422
19.961136	-156.96428	0.11083984
19.962065	-147.89983	0.12060547
19.9617	-141.40436	0.13037109
19.962086	-153.65259	0.14013672
19.964308	-164.44637	0.14990234
19.963558	-170.37718	0.15966797
19.965433	-165.27177	0.16943359
19.966982	-148.92091	0.17919922
19.96719	-139.41905	0.18896484
19.967854	-144.35905	0.19873047
19.968012	-161.28262	0.20849609
19.969559	-169.78741	0.21826172
19.970264	-163.64964	0.22802734
19.970678	-152.27516	0.23779297
19.970915	-140.56364	0.24755859
19.973099	-139.41727	0.25732422
19.973177	-151.33559	0.26708984
19.974407	-163.04057	0.27685547
19.975662	-167.14482	0.28662109
19.976219	-156.62105	0.29638672
19.976545	-140.38721	0.30615234
19.977022	-134.58047	0.31591797
19.979183	-144.81964	0.32568359
19.979504	-160.17416	0.33544922
19.979528	-166.89206	0.34521484
19.980221	-156.10522	0.35498047
19.98226	-145.43359	0.36474609
19.982643	-137.13353	0.37451172
19.983421	-138.18193	0.38427734
19.984215	-151.57303	0.39404297
19.984879	-162.03072	0.40380859
19.985638	-161.4969	0.41357422
19.986767	-149.76735	0.42333984
19.987482	-134.83664	0.43310547
19.987961	-135.4908	0.44287109
19.989082	-145.41362	0.45263672
19.989939	-157.55531	0.46240234
19.990425	-161.49153	0.47216797
19.991278	-151.58403	0.48193359
19.992685	-141.63077	0.49169922
19.992294	-132.79872	0.50146484
19.993654	-135.66402	0.51123047
19.994026	-149.80399	0.52099609
19.994658	-157.9646	0.53076172
19.996685	-155.47884	0.54052734
19.996567	-142.06711	0.55029297
19.997217	-131.7081	0.56005859
19.998556	-135.49739	0.56982422
19.999592	-141.92018	0.57958984
20.000895	-153.39876	0.58935547
20.00062	-155.8139	0.59912109
20.001284	-147.36453	0.60888672
20.002571	-137.24535	0.61865234
20.003235	-127.70575	0.62841797
20.004904	-133.73802	0.63818359
20.00503	-146.53816	0.64794922
20.005646	-154.88309	0.65771484
20.006126	-149.42818	0.66748047
20.008461	-136.85266	0.67724609
20.008802	-128.22983	0.68701172
20.009489	-130.12968	0.69677734
20.008886	-140.41058	0.70654297
20.010792	-150.05203	0.71630859
20.011625	-152.30484	0.72607422
20.012678	-142.98318	0.73583984
20.01359	-129.34285	0.74560547
20.013287	-122.83984	0.75537109
20.014246	-132.62999	0.76513672
20.014845	-147.76572	0.77490234
20.015398	-152.15958	0.78466797
20.016397	-144.09792	0.79443359
20.018009	-130.68417	0.80419922
20.018578	-122.28254	0.81396484
20.020264	-128.19919	0.82373047
20.020355	-138.14626	0.83349609
20.021145	-148.19463	0.84326172
20.023096	-148.13417	0.85302734
20.023157	-134.28717	0.86279297
20.023642	-121.1128	0.87255859
20.025251	-118.52553	0.88232422
20.026163	-133.97391	0.89208984
20.026716	-146.6754	0.90185547
20.027246	-145.16452	0.91162109
20.027727	-135.8923	0.92138672
20.028427	-121.84621	0.93115234
20.029842	-118.4213	0.94091797
20.031065	-125.61825	0.95068359
20.031588	-137.40944	0.96044922
20.032385	-146.90587	0.97021484
20.033234	-138.73604	0.97998047
20.034168	-125.27264	0.98974609
20.034521	-117.19273	0.99951172
20.035378	-118.35099	1.0092773
20.036699	-133.82195	1.019043
20.035761	-141.45473	1.0288086
20.037363	-140.09669	1.0385742
20.038784	-130.63995	1.0483398
20.039808	-117.73405	1.0581055
20.040609	-115.34229	1.0678711
20.041096	-123.42016	1.0776367
20.041361	-136.74748	1.0874023
20.04361	-140.82782	1.097168
20.042717	-132.31416	1.1069336
20.044546	-117.86227	1.1166992
20.044756	-112.84534	1.1264648
20.045362	-118.08548	1.1362305
20.046778	-131.41025	1.1459961
20.048006	-137.17021	1.1557617
20.048918	-133.66725	1.1655273
20.049417	-125.55177	1.175293
20.050102	-112.49696	1.1850586
20.050941	-110.71317	1.1948242
20.051815	-121.59585	1.2045898
20.052456	-132.64024	1.2143555
20.054121	-137.2838	1.2241211
20.054527	-123.94122	1.2338867
20.05562	-113.35983	1.2436523
20.056419	-111.20882	1.253418
20.056406	-114.74317	1.2631836
20.057043	-125.25172	1.2729492
20.05759	-133.00912	1.2827148
20.059586	-129.51665	1.2924805
20.059641	-119.1099	1.3022461
20.061026	-105.75996	1.3120117
20.061659	-108.50958	1.3217773
20.062263	-120.88303	1.331543
20.062469	-132.91602	1.3413086
20.063486	-132.05325	1.3510742
20.064802	-119.02354	1.3608398
20.066393	-109.99092	1.3706055
20.066408	-102.45285	1.3803711
20.067404	-110.10043	1.3901367
20.068035	-125.40245	1.3999023
20.069418	-130.22585	1.409668
20.071178	-126.27508	1.4194336
20.070204	-111.02451	1.4291992
20.070862	-98.839378	1.4389648
20.07189	-104.09212	1.4487305
20.073101	-118.7999	1.4584961
20.073967	-127.96645	1.4682617
20.074928	-124.64363	1.4780273
20.075735	-112.90057	1.487793
20.075434	-100.60664	1.4975586
20.077286	-99.995773	1.5073242
20.078091	-108.96384	1.5170898
20.080015	-123.83708	1.5268555
20.079334	-127.50429	1.5366211
20.079945	-115.94365	1.5463867
20.081749	-101.63374	1.5561523
20.08201	-93.797409	1.565918
20.083664	-105.28636	1.5756836
20.083324	-117.35355	1.5854492
20.085028	-122.76025	1.5952148
20.084944	-118.70531	1.6049805
20.086246	-103.1824	1.6147461
20.087759	-96.566597	1.6245117
20.087614	-96.003952	1.6342773
20.088495	-108.29795	1.644043
20.089376	-121.82415	1.6538086
20.090229	-120.42268	1.6635742
20.090269	-106.96288	1.6733398
20.091431	-93.828232	1.6831055
20.093193	-92.790726	1.6928711
20.093748	-103.34081	1.7026367
20.094458	-113.65154	1.7124023
20.095461	-118.82558	1.722168
20.096315	-110.74519	1.7319336
20.098015	-97.597656	1.7416992
20.097494	-90.370316	1.7514648
20.099401	-92.511879	1.7612305
20.098423	-107.15496	1.7709961
20.099981	-116.28069	1.7807617
20.101347	-114.16601	1.7905273
20.101738	-99.927406	1.800293
