MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.029785	s	4/15/2019 7:44:20 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
9.9791145	-106.73975	0.034423828
9.9794102	-109.8183	0.044189453
9.9791622	-112.8604	0.053955078
9.9786396	-111.37202	0.063720703
9.9793901	-112.21372	0.073486328
9.9803286	-107.38947	0.083251953
9.9797049	-104.18988	0.093017578
9.9812031	-103.29093	0.1027832
9.9823513	-108.97382	0.11254883
9.9846134	-112.93895	0.12231445
9.9833593	-111.87626	0.13208008
9.9845161	-105.59801	0.1418457
9.9857292	-100.8566	0.15161133
9.9867373	-103.01676	0.16137695
9.9876451	-103.3489	0.17114258
9.9879751	-105.67088	0.1809082
9.989254	-107.08647	0.19067383
9.9902067	-102.97475	0.20043945
9.9902229	-100.39361	0.21020508
9.9911814	-95.804276	0.2199707
9.9915962	-97.743484	0.22973633
9.9939947	-103.23245	0.23950195
9.994277	-103.83534	0.24926758
9.9941454	-101.89485	0.2590332
9.9944363	-96.733582	0.26879883
9.996417	-94.654877	0.27856445
9.9973059	-96.255707	0.28833008
9.9982014	-97.292053	0.2980957
9.9997873	-99.968643	0.30786133
9.9995003	-99.202072	0.31762695
10.000178	-99.857307	0.32739258
10.001132	-93.16935	0.3371582
10.002631	-90.333275	0.34692383
10.002025	-94.756226	0.35668945
10.003854	-96.152657	0.36645508
10.004683	-97.474121	0.3762207
10.005582	-94.668709	0.38598633
10.006652	-92.597633	0.39575195
10.007463	-92.016846	0.40551758
10.007475	-89.046425	0.4152832
10.00882	-89.023415	0.42504883
10.009018	-93.154953	0.43481445
10.01065	-95.336372	0.44458008
10.011627	-91.424866	0.4543457
10.011928	-86.78772	0.46411133
10.01301	-85.477982	0.47387695
10.012736	-85.126198	0.48364258
10.013737	-89.138847	0.4934082
10.015279	-87.673546	0.50317383
10.016061	-88.796326	0.51293945
10.016725	-86.075668	0.52270508
10.016855	-83.882164	0.5324707
10.017993	-80.617165	0.54223633
10.019807	-82.984451	0.55200195
10.019888	-88.698082	0.56176758
10.020511	-89.367981	0.5715332
10.020627	-82.91172	0.58129883
10.022544	-78.206657	0.59106445
10.023559	-77.722107	0.60083008
10.023504	-80.74205	0.6105957
10.02501	-82.744209	0.62036133
10.02526	-82.718193	0.63012695
10.02578	-84.418747	0.63989258
10.027156	-76.378227	0.6496582
10.028674	-73.744316	0.65942383
10.028051	-74.205055	0.66918945
10.029734	-78.070549	0.67895508
10.030613	-84.587975	0.6887207
10.031247	-79.899239	0.69848633
10.032755	-76.480034	0.70825195
10.032794	-71.171822	0.71801758
10.034007	-71.370552	0.7277832
10.033632	-76.57457	0.73754883
10.035727	-76.279167	0.74731445
10.037008	-79.34774	0.75708008
10.036725	-73.499153	0.7668457
10.037331	-68.230789	0.77661133
10.037571	-66.852753	0.78637695
10.039557	-69.046494	0.79614258
10.039932	-75.396729	0.8059082
10.041085	-76.224609	0.81567383
10.041348	-70.746674	0.82543945
10.042752	-67.395599	0.83520508
10.043181	-66.137123	0.8449707
10.04358	-65.583893	0.85473633
10.045316	-68.111664	0.86450195
10.045625	-69.637909	0.87426758
10.046099	-68.00502	0.8840332
10.047341	-66.491653	0.89379883
10.047887	-60.12925	0.90356445
10.049287	-61.256561	0.91333008
10.050244	-64.449928	0.9230957
10.050822	-65.819061	0.93286133
10.051417	-65.116898	0.94262695
10.052301	-61.880634	0.95239258
10.052517	-59.878265	0.9621582
10.053815	-60.80809	0.97192383
10.054724	-55.88776	0.98168945
10.056594	-59.744484	0.99145508
10.056495	-61.394264	1.0012207
10.057279	-62.64542	1.0109863
10.057878	-57.791759	1.020752
10.059422	-51.741676	1.0305176
10.060743	-56.924744	1.0402832
10.061204	-55.898178	1.0500488
10.061664	-58.826538	1.0598145
10.061528	-60.353279	1.0695801
10.063439	-56.126678	1.0793457
10.063235	-55.408878	1.0891113
10.064929	-51.131752	1.098877
10.065076	-50.246452	1.1086426
10.066911	-55.64394	1.1184082
10.066151	-55.538197	1.1281738
10.067428	-56.460556	1.1379395
10.069534	-49.819832	1.1477051
10.069633	-47.512165	1.1574707
10.070338	-47.045395	1.1672363
10.07043	-48.747227	1.177002
10.071347	-52.43288	1.1867676
10.072735	-53.160809	1.1965332
10.07368	-50.266376	1.2062988
10.073895	-47.278641	1.2160645
10.074598	-42.379032	1.2258301
10.076787	-44.007282	1.2355957
10.076838	-49.871204	1.2453613
10.077655	-51.262867	1.255127
10.078142	-47.57589	1.2648926
10.078993	-41.534924	1.2746582
10.080569	-39.468189	1.2844238
10.081422	-42.055653	1.2941895
10.080642	-45.211388	1.3039551
10.081738	-45.226925	1.3137207
10.082961	-48.13903	1.3234863
10.083439	-40.226894	1.333252
10.084686	-35.629463	1.3430176
10.085811	-34.084721	1.3527832
10.086316	-37.867321	1.3625488
10.087788	-45.512768	1.3723145
10.088693	-41.391045	1.3820801
10.088781	-37.630451	1.3918457
10.089404	-33.442051	1.4016113
10.089967	-33.197212	1.411377
10.091028	-36.511936	1.4211426
10.092606	-35.854595	1.4309082
10.093231	-40.028873	1.4406738
10.095586	-36.34465	1.4504395
10.095094	-31.847469	1.4602051
10.096586	-28.786057	1.4699707
10.096769	-28.253994	1.4797363
10.098045	-35.750046	1.489502
10.097832	-35.909935	1.4992676
10.097705	-31.632721	1.5090332
10.099442	-32.092751	1.5187988
10.100691	-27.146923	1.5285645
10.100852	-27.222353	1.5383301
10.10165	-28.055611	1.5480957
10.10313	-28.960424	1.5578613
10.102528	-31.295277	1.567627
10.103498	-30.103123	1.5773926
10.104763	-24.174568	1.5871582
10.106586	-21.566925	1.5969238
10.107668	-25.1577	1.6066895
10.107813	-26.096907	1.6164551
10.108642	-27.517647	1.6262207
10.109456	-25.065491	1.6359863
10.110489	-24.904766	1.645752
10.111379	-21.578049	1.6555176
10.111586	-20.25889	1.6652832
10.112074	-20.665737	1.6750488
10.113336	-24.194689	1.6848145
10.112784	-26.691719	1.6945801
10.115372	-21.553524	1.7043457
10.115413	-16.902939	1.7141113
10.117329	-17.57901	1.723877
10.117215	-16.861366	1.7336426
10.118594	-20.078775	1.7434082
10.118793	-21.267748	1.7531738
10.120463	-18.557356	1.7629395
10.120979	-18.264168	1.7727051
10.120412	-13.214004	1.7824707
10.122078	-11.404086	1.7922363
10.12292	-14.196741	1.802002
