MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.2540solid_typei_75%uts_0.25hz_r0			Time:	20.02124	s	4/14/2019 5:42:48 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	0.2540Solid_TypeI_75%UTS_0.25HZ.tst
Force	Displacement	Running Time	Count
N	mm	s	segments
-113.38922	9.9849644	0.022460938	0
-126.97408	9.9842167	0.032226563	0
-122.40407	9.9861097	0.041992188	0
-118.03403	9.9914904	0.051757813	0
-109.67747	9.9974432	0.061523438	0
-95.079483	10.004763	0.071289063	0
-86.0289	10.012481	0.081054688	0
-84.479561	10.022677	0.090820313	0
-88.599876	10.032485	0.10058594	0
-85.304749	10.044269	0.11035156	0
-69.06485	10.056714	0.12011719	0
-55.200916	10.071159	0.12988281	0
-37.381172	10.084486	0.13964844	0
-32.478699	10.098001	0.14941406	0
-30.197742	10.113549	0.15917969	0
-24.899948	10.12821	0.16894531	0
-17.384106	10.142888	0.17871094	0
4.4650002	10.159243	0.18847656	0
25.824461	10.174629	0.19824219	0
36.056454	10.189247	0.20800781	0
39.616463	10.204994	0.21777344	0
40.775566	10.221179	0.22753906	0
51.22435	10.236445	0.23730469	0
69.912392	10.251304	0.24707031	0
88.559921	10.268738	0.25683594	0
106.4671	10.283197	0.26660156	0
114.1557	10.30029	0.27636719	0
118.18033	10.315124	0.28613281	0
120.16822	10.330267	0.29589844	0
136.08551	10.34563	0.30566406	0
158.34862	10.361741	0.31542969	0
176.9838	10.378864	0.32519531	0
185.0457	10.394547	0.33496094	0
187.09181	10.410018	0.34472656	0
193.39233	10.426049	0.35449219	0
205.80461	10.441536	0.36425781	0
225.48792	10.457766	0.37402344	0
241.47467	10.472752	0.38378906	0
257.47882	10.488092	0.39355469	0
265.3504	10.505317	0.40332031	0
265.26608	10.520665	0.41308594	0
274.13589	10.537872	0.42285156	0
289.92795	10.553002	0.43261719	0
313.53323	10.568668	0.44238281	0
329.79419	10.584533	0.45214844	0
333.72702	10.60016	0.46191406	0
340.38043	10.616972	0.47167969	0
345.61578	10.631751	0.48144531	0
360.31311	10.649236	0.49121094	0
376.8053	10.663877	0.50097656	0
394.01459	10.67977	0.51074219	0
410.49515	10.696274	0.52050781	0
413.00803	10.71207	0.53027344	0
416.96295	10.728624	0.54003906	0
424.98111	10.74276	0.54980469	0
440.20166	10.755202	0.55957031	0
458.6062	10.765936	0.56933594	0
462.14789	10.773867	0.57910156	0
464.59647	10.782967	0.58886719	0
464.59979	10.789974	0.59863281	0
463.92517	10.796823	0.60839844	0
469.92358	10.80244	0.61816406	0
479.52628	10.807642	0.62792969	0
489.39594	10.812374	0.63769531	0
491.62173	10.816592	0.64746094	0
484.41837	10.818749	0.65722656	0
480.26697	10.823398	0.66699219	0
483.8389	10.825169	0.67675781	0
494.02734	10.82793	0.68652344	0
501.83279	10.831525	0.69628906	0
502.38318	10.833231	0.70605469	0
496.5903	10.836585	0.71582031	0
490.52213	10.838578	0.72558594	0
490.32498	10.841061	0.73535156	0
496.99744	10.841937	0.74511719	0
509.59848	10.845798	0.75488281	0
514.08154	10.846776	0.76464844	0
508.79193	10.84897	0.77441406	0
497.21112	10.851423	0.78417969	0
495.92667	10.852821	0.79394531	0
506.46078	10.854918	0.80371094	0
515.31171	10.856852	0.81347656	0
523.57001	10.857796	0.82324219	0
518.104	10.861371	0.83300781	0
511.9624	10.863139	0.84277344	0
507.6651	10.865363	0.85253906	0
506.75006	10.867536	0.86230469	0
518.71106	10.868449	0.87207031	0
530.52118	10.872771	0.88183594	0
530.53516	10.875243	0.89160156	0
526.05511	10.878313	0.90136719	0
513.90369	10.879996	0.91113281	0
518.67322	10.882833	0.92089844	0
525.55035	10.885126	0.93066406	0
534.31311	10.887505	0.94042969	0
540.63562	10.891172	0.95019531	0
538.71979	10.893379	0.95996094	0
534.84302	10.895763	0.96972656	0
527.68433	10.899755	0.97949219	0
533.72528	10.902632	0.98925781	0
544.224	10.905973	0.99902344	0
553.19739	10.908682	1.0087891	0
553.51971	10.911864	1.0185547	0
546.86792	10.914305	1.0283203	0
542.03876	10.918327	1.0380859	0
545.20447	10.919757	1.0478516	0
553.71112	10.924525	1.0576172	0
559.90442	10.928602	1.0673828	0
566.93054	10.931659	1.0771484	0
566.60193	10.934031	1.0869141	0
559.68396	10.938141	1.0966797	0
559.03961	10.941344	1.1064453	0
563.57111	10.944734	1.1162109	0
575.60406	10.949399	1.1259766	0
582.05902	10.952998	1.1357422	0
580.29126	10.956141	1.1455078	0
577.87744	10.960088	1.1552734	0
573.61865	10.962568	1.1650391	0
578.4248	10.967148	1.1748047	0
583.47479	10.970452	1.1845703	0
593.22607	10.974497	1.1943359	0
601.95514	10.978107	1.2041016	0
596.29474	10.982473	1.2138672	0
593.45605	10.986669	1.2236328	0
588.54254	10.990188	1.2333984	0
595.9975	10.993847	1.2431641	0
610.24463	10.999202	1.2529297	0
612.35516	11.002903	1.2626953	0
617.34406	11.006311	1.2724609	0
611.39594	11.010747	1.2822266	0
608.65723	11.01522	1.2919922	0
610.79993	11.019871	1.3017578	0
617.54279	11.023149	1.3115234	0
629.92871	11.02741	1.3212891	0
635.44598	11.030837	1.3310547	0
630.72473	11.034959	1.3408203	0
624.63171	11.039311	1.3505859	0
