MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9802036	-163.44435	0.022460938
9.9809885	-163.98007	0.032226563
9.9812603	-166.45116	0.041992188
9.9812927	-169.81456	0.051757813
9.9810953	-168.80585	0.061523438
9.9811163	-171.66093	0.071289063
9.9816589	-170.75792	0.081054688
9.9824362	-164.73743	0.090820313
9.9832144	-161.53586	0.10058594
9.9837227	-162.82813	0.11035156
9.9846439	-168.56323	0.12011719
9.9856434	-169.88994	0.12988281
9.9867477	-165.65921	0.13964844
9.9882345	-162.25133	0.14941406
9.9880886	-161.27318	0.15917969
9.9886293	-159.91895	0.16894531
9.9899368	-160.87935	0.17871094
9.9905519	-166.22615	0.18847656
9.9918232	-165.3631	0.19824219
9.9928522	-164.33713	0.20800781
9.9928846	-157.2816	0.21777344
9.9941225	-155.73854	0.22753906
9.9942923	-160.63869	0.23730469
9.9950476	-160.58549	0.24707031
9.9961119	-161.80185	0.25683594
9.9971199	-159.41905	0.26660156
9.9978704	-157.42741	0.27636719
9.9994068	-156.77715	0.28613281
10.000301	-151.79082	0.29589844
10.001034	-158.48343	0.30566406
10.001325	-158.54753	0.31542969
10.002192	-161.14052	0.32519531
10.002616	-157.24422	0.33496094
10.00468	-150.34006	0.34472656
10.004276	-154.99661	0.35449219
10.006028	-151.48674	0.36425781
10.006246	-155.77577	0.37402344
10.00661	-157.95294	0.38378906
10.00717	-156.05049	0.39355469
10.00726	-155.23708	0.40332031
10.008799	-147.68999	0.41308594
10.010267	-145.42548	0.42285156
10.011238	-151.93991	0.43261719
10.011421	-154.26112	0.44238281
10.011875	-157.13058	0.45214844
10.01265	-148.12701	0.46191406
10.013972	-147.33727	0.47167969
10.014186	-144.23305	0.48144531
10.015954	-146.0849	0.49121094
10.017077	-151.20053	0.50097656
10.017205	-152.45131	0.51074219
10.017172	-152.13429	0.52050781
10.019265	-146.20088	0.53027344
10.020296	-138.90427	0.54003906
10.021012	-142.40913	0.54980469
10.021772	-148.16196	0.55957031
10.022964	-149.35719	0.56933594
10.023023	-147.81914	0.57910156
10.023733	-145.32407	0.58886719
10.024427	-137.89543	0.59863281
10.025276	-137.91042	0.60839844
10.026448	-143.09883	0.61816406
10.027488	-144.83485	0.62792969
10.028663	-149.0885	0.63769531
10.02825	-141.60089	0.64746094
10.029062	-136.58321	0.65722656
10.03028	-132.57674	0.66699219
10.031502	-138.90257	0.67675781
10.031243	-145.59508	0.68652344
10.03297	-142.34634	0.69628906
10.03357	-139.62955	0.70605469
10.034759	-135.539	0.71582031
10.034662	-132.57681	0.72558594
10.036242	-134.27103	0.73535156
10.036832	-134.39549	0.74511719
10.038467	-142.73531	0.75488281
10.03807	-138.62135	0.76464844
10.038713	-133.84435	0.77441406
10.04069	-130.18422	0.78417969
10.039703	-129.65643	0.79394531
10.0411	-136.81386	0.80371094
10.042414	-137.43176	0.81347656
10.043539	-134.13818	0.82324219
10.043408	-132.64752	0.83300781
10.044703	-130.29041	0.84277344
10.044778	-127.81297	0.85253906
10.047461	-126.99699	0.86230469
10.047343	-132.17943	0.87207031
10.047799	-134.04178	0.88183594
10.048227	-133.90453	0.89160156
10.048967	-127.63194	0.90136719
10.049808	-122.7607	0.91113281
10.051679	-126.0573	0.92089844
10.052833	-128.86769	0.93066406
10.053383	-129.3401	0.94042969
10.053955	-128.40375	0.95019531
10.055712	-128.88342	0.95996094
10.05638	-124.46462	0.96972656
10.055891	-120.19556	0.97949219
10.056732	-122.42113	0.98925781
10.057875	-125.37669	0.99902344
10.058701	-129.49992	1.0087891
10.060127	-125.20334	1.0185547
10.061034	-119.21574	1.0283203
10.061028	-120.88345	1.0380859
10.062177	-117.07414	1.0478516
10.06236	-121.92412	1.0576172
10.063097	-123.16662	1.0673828
10.064584	-124.68135	1.0771484
10.064888	-124.53886	1.0869141
10.065695	-114.23095	1.0966797
10.06755	-113.10104	1.1064453
10.067342	-119.35529	1.1162109
10.069332	-121.58017	1.1259766
10.069988	-125.93138	1.1357422
10.070049	-116.60825	1.1455078
10.071409	-117.54053	1.1552734
10.071748	-112.33658	1.1650391
10.072596	-111.68227	1.1748047
10.07356	-116.04092	1.1845703
10.074912	-119.36544	1.1943359
10.074652	-120.07534	1.2041016
10.075145	-115.25403	1.2138672
10.076433	-106.79963	1.2236328
10.077744	-107.99458	1.2333984
10.078897	-110.97834	1.2431641
10.079494	-118.24579	1.2529297
10.080365	-115.85442	1.2626953
10.080896	-113.09541	1.2724609
10.081045	-108.19344	1.2822266
10.082233	-105.88639	1.2919922
10.083688	-106.45261	1.3017578
10.083776	-111.76756	1.3115234
10.085485	-114.57661	1.3212891
10.086285	-110.80557	1.3310547
10.085496	-104.66874	1.3408203
10.087337	-100.27105	1.3505859
10.087848	-102.672	1.3603516
10.087553	-110.28563	1.3701172
10.089206	-109.28339	1.3798828
10.090014	-110.25591	1.3896484
10.091592	-103.04494	1.3994141
10.092381	-101.03865	1.4091797
10.092321	-100.12271	1.4189453
10.093636	-100.15612	1.4287109
10.094832	-108.61353	1.4384766
10.095043	-105.36185	1.4482422
10.09617	-102.41522	1.4580078
10.096925	-98.306046	1.4677734
10.098338	-94.80024	1.4775391
10.09766	-100.88696	1.4873047
10.099482	-101.63893	1.4970703
10.100057	-102.258	1.5068359
10.101863	-103.15625	1.5166016
10.101346	-98.862885	1.5263672
10.102244	-96.020599	1.5361328
10.102365	-91.19146	1.5458984
10.104644	-98.308815	1.5556641
10.105012	-100.92282	1.5654297
10.105782	-100.68409	1.5751953
10.107358	-96.611336	1.5849609
10.108185	-90.55471	1.5947266
10.108749	-92.459389	1.6044922
10.10882	-92.688438	1.6142578
10.109768	-93.265541	1.6240234
10.110892	-97.987381	1.6337891
10.111776	-97.5327	1.6435547
10.112934	-92.484871	1.6533203
10.114104	-86.860283	1.6630859
10.113924	-88.507309	1.6728516
10.114693	-90.429039	1.6826172
10.115726	-96.334991	1.6923828
10.116178	-92.600327	1.7021484
10.116907	-88.763268	1.7119141
10.11902	-87.155807	1.7216797
10.118833	-83.34375	1.7314453
10.119705	-85.358772	1.7412109
10.121215	-88.095955	1.7509766
10.122386	-90.417671	1.7607422
10.121326	-90.491173	1.7705078
10.122689	-82.505569	1.7802734
