MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_090_r0			Time:	20.0271	s	4/14/2019 12:31:20 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.039654	-19.603613	0.030517578
-40.041985	-20.172474	0.040283203
-40.041382	-20.369894	0.050048828
-40.04044	-25.264477	0.059814453
-40.041439	-24.174503	0.069580078
-40.042046	-23.744324	0.079345703
-40.040306	-25.342546	0.089111328
-40.04002	-21.1021	0.098876953
-40.039196	-18.955763	0.10864258
-40.039524	-17.549826	0.1184082
-40.037674	-21.62595	0.12817383
-40.038002	-25.700211	0.13793945
-40.036465	-22.76836	0.14770508
-40.036098	-16.959154	0.1574707
-40.034912	-16.235275	0.16723633
-40.032696	-16.342033	0.17700195
-40.033581	-18.369909	0.18676758
-40.031414	-19.40583	0.1965332
-40.03199	-21.048162	0.20629883
-40.030346	-17.366571	0.21606445
-40.029072	-12.241549	0.22583008
-40.029495	-11.086722	0.2355957
-40.028633	-13.58341	0.24536133
-40.0271	-17.22143	0.25512695
-40.026413	-18.15799	0.26489258
-40.025692	-11.804233	0.2746582
-40.024498	-9.5808916	0.28442383
-40.024158	-10.601308	0.29418945
-40.022141	-10.926534	0.30395508
-40.022873	-11.290296	0.3137207
-40.022392	-13.275771	0.32348633
-40.021168	-11.830342	0.33325195
-40.019772	-11.946856	0.34301758
-40.01976	-6.3665276	0.3527832
-40.018253	-6.9373956	0.36254883
-40.017975	-9.921217	0.37231445
-40.017635	-9.4241924	0.38208008
-40.01532	-9.6956758	0.3918457
-40.015484	-5.7491779	0.40161133
-40.014099	-5.9826727	0.41137695
-40.014996	-5.9294801	0.42114258
-40.012707	-3.0651348	0.4309082
-40.01162	-4.5531206	0.44067383
-40.011398	-6.325038	0.45043945
-40.010235	-6.7205033	0.46020508
-40.008259	-5.1637068	0.4699707
-40.008499	0.34635079	0.47973633
-40.008801	-2.0205147	0.48950195
-40.006535	-1.3160642	0.49926758
-40.005531	-3.1717584	0.5090332
-40.005486	-3.7710872	0.51879883
-40.005157	-2.8377614	0.52856445
-40.00243	0.96594769	0.53833008
-40.002815	-0.063675858	0.5480957
-40.002884	3.8885603	0.55786133
-40.00185	0.46853021	0.56762695
-40.000381	-2.2655468	0.57739258
-39.999878	0.45424813	0.5871582
-39.99868	3.8495772	0.59692383
-39.997761	6.3446498	0.60668945
-39.997654	6.8087082	0.61645508
-39.99678	3.4336679	0.6262207
-39.996002	4.44206	0.63598633
-39.994934	1.9783583	0.64575195
-39.994072	3.5792744	0.65551758
-39.992996	8.5457439	0.6652832
-39.993042	9.2220125	0.67504883
-39.991741	10.073023	0.68481445
-39.991463	4.1450777	0.69458008
-39.990089	2.7236559	0.7043457
-39.988819	5.0548625	0.71411133
-39.98914	10.101308	0.72387695
-39.987591	12.837622	0.73364258
-39.986374	10.952722	0.7434082
-39.986744	8.3241386	0.75317383
-39.984753	8.1651001	0.76293945
-39.984299	6.0859365	0.77270508
-39.983303	13.265307	0.7824707
-39.983269	14.4351	0.79223633
-39.982105	15.971395	0.80200195
-39.980896	13.541285	0.81176758
-39.979507	7.3957534	0.8215332
-39.98003	11.252872	0.83129883
-39.979198	14.760365	0.84106445
-39.97739	18.40081	0.85083008
-39.977665	18.542648	0.8605957
-39.976555	15.436277	0.87036133
-39.975216	15.942836	0.88012695
-39.974133	14.5335	0.88989258
-39.973698	15.117164	0.8996582
-39.973099	19.051197	0.90942383
-39.972469	22.801796	0.91918945
-39.971203	20.648748	0.92895508
-39.970428	17.417709	0.9387207
-39.970398	16.651491	0.94848633
-39.968838	19.893932	0.95825195
-39.968262	23.201311	0.96801758
-39.967026	23.486372	0.9777832
-39.966061	23.799019	0.98754883
-39.96608	22.611853	0.99731445
-39.964916	24.554077	1.0070801
-39.964252	21.476223	1.0168457
-39.962784	20.587332	1.0266113
-39.963165	26.481489	1.036377
-39.961021	29.272392	1.0461426
-39.96035	26.503077	1.0559082
-39.960098	26.576305	1.0656738
-39.958153	25.113762	1.0754395
-39.957733	26.74987	1.0852051
-39.957691	28.462856	1.0949707
-39.957912	28.186453	1.1047363
-39.955029	31.107943	1.114502
-39.955975	31.583403	1.1242676
-39.954052	30.008602	1.1340332
-39.953869	24.186758	1.1437988
-39.952553	28.158081	1.1535645
-39.952457	33.524391	1.1633301
-39.951008	35.172173	1.1730957
-39.949829	34.539738	1.1828613
-39.948734	32.024868	1.192627
-39.947926	31.173677	1.2023926
-39.948257	33.611912	1.2121582
-39.945915	30.884211	1.2219238
-39.946419	36.037434	1.2316895
-39.945915	40.957912	1.2414551
-39.944618	36.687408	1.2512207
-39.944263	32.290642	1.2609863
-39.943058	31.552303	1.270752
-39.943069	35.055229	1.2805176
-39.940826	41.568047	1.2902832
-39.939922	41.020809	1.3000488
-39.940441	37.551624	1.3098145
-39.939461	39.246483	1.3195801
-39.936871	35.307076	1.3293457
-39.937073	38.100582	1.3391113
-39.935165	41.925381	1.348877
-39.936092	43.701267	1.3586426
-39.934483	45.815643	1.3684082
-39.933868	39.782059	1.3781738
-39.933544	36.106201	1.3879395
-39.932259	39.230949	1.3977051
-39.93121	45.173676	1.4074707
-39.930878	47.638088	1.4172363
-39.930088	44.382023	1.427002
-39.929096	44.399208	1.4367676
-39.929768	44.891792	1.4465332
-39.926731	41.769318	1.4562988
-39.927757	46.603832	1.4660645
-39.926285	47.619987	1.4758301
-39.924992	50.852573	1.4855957
-39.924545	49.624832	1.4953613
-39.92255	44.741089	1.505127
-39.923222	45.453529	1.5148926
-39.922096	49.1992	1.5246582
-39.921673	51.6096	1.5344238
-39.920616	51.952034	1.5441895
-39.919621	50.591782	1.5539551
-39.918373	50.272591	1.5637207
-39.917831	50.065731	1.5734863
-39.916389	49.312977	1.583252
-39.915859	51.191959	1.5930176
-39.915848	56.073521	1.6027832
-39.914051	57.103771	1.6125488
-39.913715	54.196476	1.6223145
-39.913628	50.590542	1.6320801
-39.912514	52.759228	1.6418457
-39.911751	56.478378	1.6516113
-39.910557	56.805401	1.661377
-39.909328	58.267654	1.6711426
-39.910648	57.97908	1.6809082
-39.907417	59.538452	1.6906738
-39.907688	57.69062	1.7004395
-39.905937	55.150505	1.7102051
-39.905758	59.211651	1.7199707
-39.904022	61.892284	1.7297363
-39.90451	63.197582	1.739502
-39.902924	62.993908	1.7492676
