MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_4545_r0			Time:	20.021729	s	4/13/2019 8:16:34 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.034824	-211.73996	0.025878906
-40.034321	-213.48242	0.035644531
-40.034225	-213.54533	0.045410156
-40.034321	-213.23372	0.055175781
-40.034439	-213.50246	0.064941406
-40.03331	-214.02216	0.074707031
-40.03455	-216.10228	0.084472656
-40.033333	-216.93813	0.094238281
-40.032185	-208.47607	0.10400391
-40.03035	-211.12776	0.11376953
-40.030418	-210.02422	0.12353516
-40.029083	-211.99942	0.13330078
-40.028957	-211.42336	0.14306641
-40.025871	-210.713	0.15283203
-40.025162	-211.93353	0.16259766
-40.025211	-205.64749	0.17236328
-40.024647	-204.79315	0.18212891
-40.023788	-207.39937	0.19189453
-40.023651	-210.56215	0.20166016
-40.022713	-212.28899	0.21142578
-40.0215	-207.05838	0.22119141
-40.021011	-206.09656	0.23095703
-40.019409	-202.18279	0.24072266
-40.018505	-203.83194	0.25048828
-40.017334	-206.62943	0.26025391
-40.018826	-206.14461	0.27001953
-40.015408	-209.21478	0.27978516
-40.015991	-203.3064	0.28955078
-40.015057	-198.4866	0.29931641
-40.013809	-198.41055	0.30908203
-40.012562	-204.16483	0.31884766
-40.011616	-206.80226	0.32861328
-40.011742	-202.67319	0.33837891
-40.011131	-200.68404	0.34814453
-40.010017	-197.80603	0.35791016
-40.009674	-198.89156	0.36767578
-40.008045	-198.46964	0.37744141
-40.008278	-200.92358	0.38720703
-40.007168	-204.2038	0.39697266
-40.005104	-198.65518	0.40673828
-40.005367	-196.09222	0.41650391
-40.004093	-191.0153	0.42626953
-40.003345	-196.18097	0.43603516
-40.002949	-200.00616	0.44580078
-40.002403	-199.38451	0.45556641
-40.001762	-196.71902	0.46533203
-40.000484	-193.58946	0.47509766
-40.000122	-194.53227	0.48486328
-39.998508	-194.79327	0.49462891
-39.998165	-193.15201	0.50439453
-39.997639	-198.778	0.51416016
-39.99649	-194.56645	0.52392578
-39.995636	-193.77959	0.53369141
-39.994968	-188.77388	0.54345703
-39.992989	-186.96107	0.55322266
-39.993633	-195.05263	0.56298828
-39.992828	-192.44969	0.57275391
-39.991123	-191.95679	0.58251953
-39.990547	-191.22983	0.59228516
-39.990273	-189.17523	0.60205078
-39.988808	-188.91576	0.61181641
-39.988014	-184.61237	0.62158203
-39.987347	-190.40465	0.63134766
-39.986828	-191.49435	0.64111328
-39.985168	-189.01767	0.65087891
-39.984413	-186.47337	0.66064453
-39.983959	-183.12314	0.67041016
-39.982975	-186.04781	0.68017578
-39.983082	-186.00916	0.68994141
-39.982494	-185.9142	0.69970703
-39.981182	-185.67049	0.70947266
-39.9799	-185.05707	0.71923828
-39.980282	-183.01831	0.72900391
-39.978973	-181.34373	0.73876953
-39.978199	-179.04768	0.74853516
-39.977558	-183.45039	0.75830078
-39.976563	-187.88191	0.76806641
-39.975018	-183.69937	0.77783203
-39.975674	-179.43098	0.78759766
-39.973286	-180.34012	0.79736328
-39.973389	-175.58731	0.80712891
-39.971066	-179.71283	0.81689453
-39.971684	-179.50262	0.82666016
-39.970554	-181.93857	0.83642578
-39.970158	-182.34593	0.84619141
-39.969601	-176.4838	0.85595703
-39.968094	-174.2128	0.86572266
-39.966682	-174.74568	0.87548828
-39.965931	-179.06194	0.88525391
-39.965294	-182.25684	0.89501953
-39.965588	-175.20988	0.90478516
-39.964386	-174.65497	0.91455078
-39.963634	-171.71167	0.92431641
-39.962326	-172.70517	0.93408203
-39.961826	-175.56894	0.94384766
-39.959606	-175.08768	0.95361328
-39.96027	-177.96809	0.96337891
-39.959587	-173.60527	0.97314453
-39.956764	-168.94461	0.98291016
-39.957779	-167.914	0.99267578
-39.956791	-170.34224	1.0024414
-39.955711	-175.92238	1.012207
-39.953987	-173.05734	1.0219727
-39.953678	-169.01227	1.0317383
-39.953243	-168.81714	1.0415039
-39.953003	-164.71591	1.0512695
-39.951611	-168.74361	1.0610352
-39.949783	-168.20941	1.0708008
-39.950768	-172.72136	1.0805664
-39.948669	-170.67528	1.090332
-39.947289	-166.11835	1.1000977
-39.946815	-162.32268	1.1098633
-39.946732	-164.71967	1.1196289
-39.947556	-166.35954	1.1293945
-39.944675	-168.81969	1.1391602
-39.944386	-165.19092	1.1489258
-39.943962	-162.83688	1.1586914
-39.941956	-162.20706	1.168457
-39.940659	-160.60551	1.1782227
-39.940319	-162.34052	1.1879883
-39.940254	-165.05606	1.1977539
-39.93943	-164.46967	1.2075195
-39.937977	-163.19902	1.2172852
-39.938046	-158.5625	1.2270508
-39.93811	-157.00902	1.2368164
-39.936848	-160.11032	1.246582
-39.934498	-160.52576	1.2563477
-39.934319	-161.53406	1.2661133
-39.933552	-157.75224	1.2758789
-39.933559	-158.75356	1.2856445
-39.932171	-158.82974	1.2954102
-39.932274	-153.6555	1.3051758
-39.929432	-155.9241	1.3149414
-39.930149	-159.17316	1.324707
-39.929363	-158.99205	1.3344727
-39.928806	-157.38095	1.3442383
-39.927624	-152.40538	1.3540039
-39.924397	-154.46573	1.3637695
-39.925472	-151.78418	1.3735352
-39.925369	-152.68431	1.3833008
-39.923977	-155.89064	1.3930664
-39.922943	-154.67598	1.402832
-39.922516	-156.93967	1.4125977
-39.921555	-149.01349	1.4223633
-39.920784	-148.4381	1.4321289
-39.920414	-150.72585	1.4418945
-39.91835	-154.09386	1.4516602
-39.918034	-154.68781	1.4614258
-39.916962	-149.88957	1.4711914
-39.917297	-148.37764	1.480957
-39.915627	-144.81389	1.4907227
-39.915173	-148.81329	1.5004883
-39.914661	-147.91454	1.5102539
-39.914032	-150.36702	1.5200195
-39.913338	-152.47627	1.5297852
-39.912537	-146.58939	1.5395508
-39.911068	-142.77449	1.5493164
-39.909985	-141.27924	1.559082
-39.910225	-147.06682	1.5688477
-39.909119	-150.45767	1.5786133
-39.907204	-144.98076	1.5883789
-39.908287	-146.63849	1.5981445
-39.906738	-138.10545	1.6079102
-39.904541	-141.5463	1.6176758
-39.905067	-142.50558	1.6274414
-39.903774	-142.49953	1.637207
-39.902744	-148.6376	1.6469727
-39.902359	-141.2963	1.6567383
-39.901035	-139.15833	1.6665039
-39.899788	-135.86272	1.6762695
-39.90036	-137.53477	1.6860352
-39.89875	-144.20918	1.6958008
