MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.025879	s	4/15/2019 3:48:13 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9801054	-154.22006	0.030273438
9.980567	-154.10086	0.040039063
9.9799452	-154.90251	0.049804688
9.9804592	-159.08112	0.059570313
9.9806948	-160.35312	0.069335938
9.9803238	-158.63181	0.079101563
9.9803076	-157.13602	0.088867188
9.9814329	-157.27777	0.098632813
9.9808159	-152.41844	0.10839844
9.9826069	-151.44086	0.11816406
9.9830713	-157.86649	0.12792969
9.9840651	-158.3573	0.13769531
9.9849844	-158.80438	0.14746094
9.9857063	-151.44995	0.15722656
9.9869289	-152.39352	0.16699219
9.9881477	-150.6114	0.17675781
9.9881001	-150.54869	0.18652344
9.9891748	-154.41809	0.19628906
9.9894838	-154.3006	0.20605469
9.9906807	-155.90472	0.21582031
9.9907236	-150.28375	0.22558594
9.9926596	-146.33412	0.23535156
9.9934216	-150.16707	0.24511719
9.9948092	-148.81818	0.25488281
9.9949055	-153.31236	0.26464844
9.9957943	-151.21094	0.27441406
9.9970551	-148.86693	0.28417969
9.9984264	-149.40459	0.29394531
9.997838	-145.33621	0.30371094
9.999012	-145.64214	0.31347656
9.9994478	-149.07315	0.32324219
9.9999971	-151.66042	0.33300781
10.001477	-151.56683	0.34277344
10.002337	-142.90007	0.35253906
10.003274	-142.04881	0.36230469
10.003314	-142.89366	0.37207031
10.003983	-144.96742	0.38183594
10.005488	-147.98241	0.39160156
10.006846	-146.70338	0.40136719
10.007529	-144.67068	0.41113281
10.007913	-140.23055	0.42089844
10.009206	-136.15331	0.43066406
10.008844	-141.37444	0.44042969
10.010782	-147.04219	0.45019531
10.011313	-147.58588	0.45996094
10.013052	-144.57695	0.46972656
10.013122	-137.81813	0.47949219
10.013719	-135.32611	0.48925781
10.013843	-139.69765	0.49902344
10.014063	-141.72186	0.50878906
10.016526	-143.43179	0.51855469
10.017497	-143.89316	0.52832031
10.018303	-136.64525	0.53808594
10.01858	-134.38696	0.54785156
10.019415	-131.62282	0.55761719
10.019778	-138.47537	0.56738281
10.020957	-144.82384	0.57714844
10.022813	-141.44843	0.58691406
10.024076	-135.09723	0.59667969
10.02273	-132.49094	0.60644531
10.024446	-131.40945	0.61621094
10.024673	-135.20207	0.62597656
10.025181	-135.25656	0.63574219
10.026568	-140.46376	0.64550781
10.027438	-136.15323	0.65527344
10.028325	-130.93695	0.66503906
10.029076	-128.05609	0.67480469
10.029785	-128.92375	0.68457031
10.030625	-136.74846	0.69433594
10.030662	-137.41415	0.70410156
10.031481	-134.60674	0.71386719
10.03247	-129.10622	0.72363281
10.03371	-126.166	0.73339844
10.033962	-128.36089	0.74316406
10.035258	-128.94911	0.75292969
10.036413	-131.39857	0.76269531
10.038463	-132.76559	0.77246094
10.03829	-129.96883	0.78222656
10.038948	-125.55305	0.79199219
10.039579	-122.96031	0.80175781
10.040232	-125.77136	0.81152344
10.04054	-129.99013	0.82128906
10.041843	-129.01976	0.83105469
10.04303	-127.01527	0.84082031
10.04381	-124.02336	0.85058594
10.044593	-123.66064	0.86035156
10.044584	-120.57222	0.87011719
10.045578	-122.99242	0.87988281
10.04713	-125.26273	0.88964844
10.046554	-128.6469	0.89941406
10.048965	-123.74153	0.90917969
10.049402	-118.22447	0.91894531
10.049972	-119.76041	0.92871094
10.05115	-118.68111	0.93847656
10.052333	-122.78438	0.94824219
10.051414	-123.42902	0.95800781
10.0535	-122.34052	0.96777344
10.054867	-121.21664	0.97753906
10.055186	-116.06319	0.98730469
10.056294	-114.45448	0.99707031
10.057041	-118.3159	1.0068359
10.057313	-122.73178	1.0166016
10.058061	-124.20784	1.0263672
10.058952	-115.7966	1.0361328
10.059334	-114.45277	1.0458984
10.060925	-111.27041	1.0556641
10.06081	-115.78807	1.0654297
10.062488	-119.81157	1.0751953
10.062469	-119.10435	1.0849609
10.064425	-117.14102	1.0947266
10.065224	-112.06266	1.1044922
10.065024	-106.75152	1.1142578
10.066944	-109.06645	1.1240234
10.067051	-114.13792	1.1337891
10.068183	-119.04991	1.1435547
10.067998	-114.98163	1.1533203
10.0698	-106.35388	1.1630859
10.071211	-106.29574	1.1728516
10.071259	-108.7602	1.1826172
10.071582	-109.96385	1.1923828
10.073001	-113.28215	1.2021484
10.073856	-113.9576	1.2119141
10.075277	-108.45548	1.2216797
10.074811	-105.65576	1.2314453
10.075406	-100.7627	1.2412109
10.076501	-103.90749	1.2509766
10.078226	-111.83448	1.2607422
10.079306	-111.33354	1.2705078
10.079176	-105.83327	1.2802734
10.080015	-101.29403	1.2900391
10.081818	-101.47925	1.2998047
10.081182	-103.47659	1.3095703
10.083113	-103.55055	1.3193359
10.082553	-108.81264	1.3291016
10.083584	-106.00164	1.3388672
10.08482	-102.70011	1.3486328
10.085848	-99.14637	1.3583984
10.086561	-95.290512	1.3681641
10.08639	-101.89806	1.3779297
10.089026	-103.37333	1.3876953
10.088746	-103.28297	1.3974609
10.088554	-100.3806	1.4072266
10.090989	-95.993095	1.4169922
10.09211	-97.341927	1.4267578
10.092582	-95.074219	1.4365234
10.093053	-96.353867	1.4462891
10.093758	-101.43447	1.4560547
10.094451	-100.42242	1.4658203
10.095034	-95.490311	1.4755859
10.097364	-89.01123	1.4853516
10.097089	-93.667015	1.4951172
10.096974	-94.559753	1.5048828
10.099492	-98.395653	1.5146484
10.099196	-96.754013	1.5244141
10.100218	-94.22831	1.5341797
10.101686	-92.412178	1.5439453
10.102608	-89.866539	1.5537109
10.102848	-89.186409	1.5634766
10.10394	-93.266327	1.5732422
10.104182	-97.142685	1.5830078
10.106098	-94.514687	1.5927734
10.105169	-86.540054	1.6025391
10.106322	-85.049309	1.6123047
10.107869	-85.559326	1.6220703
10.107974	-91.157158	1.6318359
10.108881	-91.070435	1.6416016
10.110838	-91.809998	1.6513672
10.112103	-89.720009	1.6611328
10.112583	-83.73822	1.6708984
10.112345	-83.084618	1.6806641
10.112931	-83.068672	1.6904297
10.114065	-89.88195	1.7001953
10.114958	-94.788666	1.7099609
10.11521	-84.886787	1.7197266
10.117155	-80.150841	1.7294922
10.118265	-77.93718	1.7392578
10.117864	-83.288033	1.7490234
10.11921	-86.191025	1.7587891
10.119699	-85.436531	1.7685547
10.120666	-88.099541	1.7783203
10.122076	-80.321671	1.7880859
