MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_090_r0			Time:	20.018066	s	4/13/2019 11:09:34 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.043648	-187.63771	0.022949219
-40.042515	-186.66507	0.032714844
-40.042332	-185.15224	0.042480469
-40.042252	-186.42149	0.052246094
-40.042271	-190.52541	0.062011719
-40.042309	-188.51682	0.071777344
-40.041824	-185.37788	0.081542969
-40.042564	-182.19066	0.091308594
-40.04126	-180.76709	0.10107422
-40.040573	-186.09711	0.11083984
-40.039471	-185.01691	0.12060547
-40.038719	-186.614	0.13037109
-40.037258	-187.74274	0.14013672
-40.037682	-179.99678	0.14990234
-40.035149	-180.42836	0.15966797
-40.034843	-179.72282	0.16943359
-40.034527	-183.75421	0.17919922
-40.03278	-188.14558	0.18896484
-40.033272	-183.02467	0.19873047
-40.031879	-178.75372	0.20849609
-40.031216	-176.78595	0.21826172
-40.030247	-179.07869	0.22802734
-40.029171	-179.77701	0.23779297
-40.030418	-181.44043	0.24755859
-40.027843	-182.4817	0.25732422
-40.027416	-177.35164	0.26708984
-40.025833	-174.1423	0.27685547
-40.025276	-173.69962	0.28662109
-40.024937	-174.1555	0.29638672
-40.024693	-182.03178	0.30615234
-40.023975	-179.64388	0.31591797
-40.022243	-175.11018	0.32568359
-40.020828	-172.46413	0.33544922
-40.020271	-172.2196	0.34521484
-40.020634	-171.25591	0.35498047
-40.019222	-173.36716	0.36474609
-40.018505	-173.93451	0.37451172
-40.016396	-174.22713	0.38427734
-40.017239	-171.02345	0.39404297
-40.01638	-167.59567	0.40380859
-40.016048	-168.76933	0.41357422
-40.014618	-170.3441	0.42333984
-40.014233	-171.95457	0.43310547
-40.01178	-171.86037	0.44287109
-40.011536	-167.04799	0.45263672
-40.011185	-167.51366	0.46240234
-40.010754	-167.97517	0.47216797
-40.008617	-166.19524	0.48193359
-40.009159	-167.80083	0.49169922
-40.007381	-168.46271	0.50146484
-40.006596	-169.96393	0.51123047
-40.005238	-165.15234	0.52099609
-40.006481	-160.88739	0.53076172
-40.004856	-165.31635	0.54052734
-40.002857	-161.48727	0.55029297
-40.00251	-166.21695	0.56005859
-40.001568	-164.45778	0.56982422
-40.001488	-162.05241	0.57958984
-40.000473	-163.69478	0.58935547
-39.999924	-160.43053	0.59912109
-39.999039	-157.53848	0.60888672
-39.998928	-162.66444	0.61865234
-39.99765	-163.87933	0.62841797
-39.996994	-163.66199	0.63818359
-39.996693	-156.3793	0.64794922
-39.9953	-155.62914	0.65771484
-39.993526	-156.41112	0.66748047
-39.993565	-159.35199	0.67724609
-39.991894	-161.08589	0.68701172
-39.991673	-158.66005	0.69677734
-39.991413	-158.62109	0.70654297
-39.989452	-154.52391	0.71630859
-39.98835	-151.48535	0.72607422
-39.988049	-152.71858	0.73583984
-39.987877	-159.63783	0.74560547
-39.98558	-159.71445	0.75537109
-39.986835	-157.29495	0.76513672
-39.984867	-151.31467	0.77490234
-39.984196	-148.79697	0.78466797
-39.983345	-151.92384	0.79443359
-39.982521	-153.20671	0.80419922
-39.981285	-155.37546	0.81396484
-39.981827	-155.7341	0.82373047
-39.980465	-148.18304	0.83349609
-39.979481	-148.22861	0.84326172
-39.978577	-144.90222	0.85302734
-39.976955	-149.21172	0.86279297
-39.976982	-153.02779	0.87255859
-39.975868	-152.18402	0.88232422
-39.976223	-148.44939	0.89208984
-39.974609	-143.90947	0.90185547
-39.973457	-144.85939	0.91162109
-39.973892	-147.12241	0.92138672
-39.973038	-146.87193	0.93115234
-39.971039	-151.63885	0.94091797
-39.970314	-146.79053	0.95068359
-39.968735	-143.52141	0.96044922
-39.969666	-141.37833	0.97021484
-39.967979	-141.4987	0.97998047
-39.967018	-146.23502	0.98974609
-39.966049	-145.15854	0.99951172
-39.96574	-144.19473	1.0092773
-39.964397	-141.48532	1.019043
-39.96339	-137.0388	1.0288086
-39.964779	-140.85382	1.0385742
-39.962555	-140.05582	1.0483398
-39.960793	-142.00604	1.0581055
-39.961128	-141.84955	1.0678711
-39.959518	-141.59377	1.0776367
-39.959213	-138.07985	1.0874023
-39.959187	-136.21465	1.097168
-39.956608	-135.29533	1.1069336
-39.956432	-137.43263	1.1166992
-39.955811	-139.81792	1.1264648
-39.954899	-138.05513	1.1362305
-39.953957	-135.53461	1.1459961
-39.952366	-134.89328	1.1557617
-39.953312	-133.57762	1.1655273
-39.950977	-132.4803	1.175293
-39.950409	-133.32506	1.1850586
-39.951111	-138.41615	1.1948242
-39.948391	-134.94453	1.2045898
-39.949142	-130.60774	1.2143555
-39.947227	-127.89867	1.2241211
-39.946831	-129.25842	1.2338867
-39.946373	-134.30269	1.2436523
-39.945747	-133.50905	1.253418
-39.943825	-130.25943	1.2631836
-39.942623	-132.45056	1.2729492
-39.94133	-126.95935	1.2827148
-39.941444	-126.73631	1.2924805
-39.941902	-127.87849	1.3022461
-39.940613	-130.13184	1.3120117
-39.938984	-133.31653	1.3217773
-39.938816	-126.42185	1.331543
-39.937912	-123.40475	1.3413086
-39.936806	-122.68275	1.3510742
-39.935848	-126.13261	1.3608398
-39.936127	-128.56947	1.3706055
-39.936134	-127.76559	1.3803711
-39.932995	-127.27888	1.3901367
-39.932434	-122.32474	1.3999023
-39.931683	-119.37015	1.409668
-39.931622	-119.82684	1.4194336
-39.930336	-123.52996	1.4291992
-39.930672	-128.86853	1.4389648
-39.929523	-125.32347	1.4487305
-39.928719	-119.87935	1.4584961
-39.926849	-117.25809	1.4682617
-39.925938	-118.34927	1.4780273
-39.926464	-120.84487	1.487793
-39.924831	-122.59314	1.4975586
-39.924	-121.29985	1.5073242
-39.923553	-117.03694	1.5170898
-39.92234	-117.09904	1.5268555
-39.922131	-113.33044	1.5366211
-39.921059	-115.29311	1.5463867
-39.919292	-120.29507	1.5561523
-39.918964	-118.10926	1.565918
-39.91943	-115.99744	1.5756836
-39.917431	-112.46246	1.5854492
-39.916649	-113.91516	1.5952148
-39.917469	-114.27898	1.6049805
-39.915379	-115.00816	1.6147461
-39.914963	-115.97176	1.6245117
-39.914574	-112.2663	1.6342773
-39.913544	-112.93535	1.644043
-39.912491	-109.52809	1.6538086
-39.911636	-107.53263	1.6635742
-39.910755	-112.12219	1.6733398
-39.909142	-113.3997	1.6831055
-39.909157	-112.9818	1.6928711
