MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.042789	-102.09778	0.023681641
-40.043163	-116.10047	0.033447266
-40.043095	-124.59717	0.043212891
-40.041912	-127.87947	0.052978516
-40.04229	-109.11392	0.062744141
-40.041855	-96.104393	0.072509766
-40.041103	-99.780685	0.082275391
-40.039383	-113.1226	0.092041016
-40.039425	-126.1079	0.10180664
-40.038841	-123.60403	0.11157227
-40.037544	-111.716	0.12133789
-40.036819	-99.461136	0.13110352
-40.03632	-95.45713	0.14086914
-40.0354	-104.03687	0.15063477
-40.035458	-115.68723	0.16040039
-40.034645	-122.79278	0.17016602
-40.033638	-113.35865	0.17993164
-40.032162	-99.24649	0.18969727
-40.03194	-89.997681	0.19946289
-40.030682	-96.464432	0.20922852
-40.030277	-110.26143	0.21899414
-40.029568	-117.69501	0.22875977
-40.028206	-114.42522	0.23852539
-40.027592	-102.35028	0.24829102
-40.026234	-92.798553	0.25805664
-40.026157	-90.706917	0.26782227
-40.02396	-97.510368	0.27758789
-40.025269	-113.61252	0.28735352
-40.024757	-112.87049	0.29711914
-40.023457	-106.10268	0.30688477
-40.02132	-91.548653	0.31665039
-40.021378	-84.618652	0.32641602
-40.021034	-95.911293	0.33618164
-40.019344	-102.34916	0.34594727
-40.018879	-108.73275	0.35571289
-40.017136	-106.12688	0.36547852
-40.018261	-93.860275	0.37524414
-40.016399	-85.206711	0.38500977
-40.015877	-82.494781	0.39477539
-40.014359	-94.474274	0.40454102
-40.014168	-105.60201	0.41430664
-40.012825	-107.09205	0.42407227
-40.01189	-96.421143	0.43383789
-40.010735	-83.23745	0.44360352
-40.010361	-81.556549	0.45336914
-40.009613	-88.108673	0.46313477
-40.007832	-97.636871	0.47290039
-40.00853	-103.53271	0.48266602
-40.008312	-98.431236	0.49243164
-40.006275	-87.040932	0.50219727
-40.006268	-78.055328	0.51196289
-40.004589	-77.883881	0.52172852
-40.0051	-91.9506	0.53149414
-40.00267	-102.84068	0.54125977
-40.002842	-100.33101	0.55102539
-40.002979	-86.925308	0.56079102
-40.001133	-78.598854	0.57055664
-39.999557	-71.595703	0.58032227
-39.999779	-82.926247	0.59008789
-39.998608	-93.145607	0.59985352
-39.998329	-96.929359	0.60961914
-39.996643	-93.514771	0.61938477
-39.996124	-76.313705	0.62915039
-39.995529	-69.161873	0.63891602
-39.99498	-73.645729	0.64868164
-39.993603	-86.568657	0.65844727
-39.992458	-96.642799	0.66821289
-39.99213	-89.119423	0.67797852
-39.990818	-79.229271	0.68774414
-39.990288	-67.081543	0.69750977
-39.989044	-68.361214	0.70727539
-39.988838	-78.998627	0.71704102
-39.987812	-87.006561	0.72680664
-39.987331	-93.405533	0.73657227
-39.986584	-80.244881	0.74633789
-39.984859	-65.028419	0.75610352
-39.984959	-62.091309	0.76586914
-39.984085	-70.234688	0.77563477
-39.981918	-85.037941	0.78540039
-39.982174	-89.586266	0.79516602
-39.981239	-80.670425	0.80493164
-39.980526	-68.387665	0.81469727
-39.980179	-60.530525	0.82446289
-39.97818	-64.753647	0.83422852
-39.979435	-73.126656	0.84399414
-39.976501	-84.874336	0.85375977
-39.977631	-81.962128	0.86352539
-39.97514	-71.798553	0.87329102
-39.976215	-58.320683	0.88305664
-39.973888	-56.091084	0.89282227
-39.973366	-67.320236	0.90258789
-39.972355	-78.705132	0.91235352
-39.971115	-79.88652	0.92211914
-39.9711	-72.376534	0.93188477
-39.969528	-61.764046	0.94165039
-39.968246	-55.433456	0.95141602
-39.967747	-57.166092	0.96118164
-39.96751	-71.447159	0.97094727
-39.966534	-75.987572	0.98071289
-39.965969	-75.126419	0.99047852
-39.965225	-60.949966	1.0002441
-39.964497	-49.992188	1.0100098
-39.96352	-56.079754	1.0197754
-39.962219	-61.659348	1.029541
-39.962257	-71.056664	1.0393066
-39.96104	-73.673233	1.0490723
-39.959064	-64.866615	1.0588379
-39.958923	-54.734818	1.0686035
-39.959236	-45.500488	1.0783691
-39.95652	-52.068878	1.0881348
-39.956608	-63.822834	1.0979004
-39.956764	-70.447746	1.107666
-39.955231	-68.230019	1.1174316
-39.95512	-52.058285	1.1271973
-39.953434	-45.662891	1.1369629
-39.952057	-46.848892	1.1467285
-39.952232	-57.075718	1.1564941
-39.951488	-65.132622	1.1662598
-39.94944	-66.206558	1.1760254
-39.949886	-57.995342	1.185791
-39.949337	-43.770462	1.1955566
-39.947495	-38.798859	1.2053223
-39.947559	-46.798248	1.2150879
-39.946461	-62.52718	1.2248535
-39.94643	-66.399307	1.2346191
-39.944912	-55.508358	1.2443848
-39.944542	-45.064381	1.2541504
-39.943577	-35.915359	1.263916
-39.942696	-42.162575	1.2736816
-39.941895	-52.328739	1.2834473
-39.939941	-60.618591	1.2932129
-39.94062	-60.349354	1.3029785
-39.938915	-45.664955	1.3127441
-39.938507	-33.779919	1.3225098
-39.937222	-32.504837	1.3322754
-39.936371	-44.456779	1.342041
-39.936363	-58.938572	1.3518066
-39.934143	-56.652061	1.3615723
-39.9342	-48.053112	1.3713379
-39.933128	-34.877411	1.3811035
-39.931824	-30.241894	1.3908691
-39.932556	-38.476074	1.4006348
-39.93095	-46.207817	1.4104004
-39.929981	-56.882729	1.420166
-39.92997	-49.616329	1.4299316
-39.928753	-36.5597	1.4396973
-39.928539	-26.204731	1.4494629
-39.926991	-28.731817	1.4592285
-39.925629	-43.626019	1.4689941
-39.925224	-51.066875	1.4787598
-39.924458	-46.758572	1.4885254
-39.924274	-39.399853	1.498291
-39.922943	-27.448772	1.5080566
-39.922871	-25.819923	1.5178223
-39.921253	-32.07988	1.5275879
-39.919865	-45.705513	1.5373535
-39.919407	-48.408806	1.5471191
-39.919815	-41.859383	1.5568848
-39.918102	-25.710327	1.5666504
-39.916595	-20.009312	1.576416
-39.91621	-26.296751	1.5861816
-39.914948	-35.924984	1.5959473
-39.913513	-44.915627	1.6057129
-39.914425	-39.801552	1.6154785
-39.913097	-30.985785	1.6252441
-39.912521	-19.160477	1.6350098
-39.91124	-17.36478	1.6447754
-39.910721	-27.648287	1.654541
-39.91066	-37.11977	1.6643066
-39.909313	-40.968124	1.6740723
-39.908436	-31.69911	1.6838379
-39.907833	-18.047832	1.6936035
