MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_090_r0			Time:	20.017822	s	4/15/2019 2:31:25 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9726286	-161.82495	0.022216797
9.9728842	-157.55083	0.031982422
9.9712381	-161.27669	0.041748047
9.9713421	-167.50166	0.051513672
9.9712658	-168.0107	0.061279297
9.9712543	-165.69193	0.071044922
9.9726057	-162.53139	0.080810547
9.974556	-160.38678	0.090576172
9.9741631	-159.64838	0.1003418
9.9746075	-155.66455	0.11010742
9.9771404	-163.10672	0.11987305
9.9770384	-163.18246	0.12963867
9.9783535	-164.98824	0.1394043
9.9784222	-156.38327	0.14916992
9.9791775	-151.67712	0.15893555
9.9807024	-156.15495	0.16870117
9.9809713	-156.56119	0.1784668
9.9807987	-160.16409	0.18823242
9.9830866	-160.14479	0.19799805
9.9829359	-155.64856	0.20776367
9.9835978	-155.59236	0.2175293
9.9856215	-149.85301	0.22729492
9.9848404	-149.42108	0.23706055
9.9868326	-156.12822	0.24682617
9.9870853	-157.25818	0.2565918
9.9878645	-156.67365	0.26635742
9.9889088	-149.65744	0.27612305
9.9895201	-147.0451	0.28588867
9.990407	-144.52609	0.2956543
9.992012	-149.35683	0.30541992
9.9915476	-151.67067	0.31518555
9.9939194	-153.82162	0.32495117
9.9941483	-150.59711	0.3347168
9.9958115	-146.23392	0.34448242
9.995265	-140.97229	0.35424805
9.995245	-142.73572	0.36401367
9.9971495	-151.76064	0.3737793
9.9988222	-151.30614	0.38354492
9.9976816	-147.82054	0.39331055
10.000064	-142.11682	0.40307617
10.000617	-137.54018	0.4128418
10.002249	-139.36246	0.42260742
10.001518	-141.56775	0.43237305
10.002806	-147.13936	0.44213867
10.003473	-148.77606	0.4519043
10.004547	-140.1508	0.46166992
10.005221	-135.31306	0.47143555
10.005625	-132.05959	0.48120117
10.007285	-140.03238	0.4909668
10.007221	-145.58212	0.50073242
10.007677	-142.47702	0.51049805
10.007953	-139.76007	0.52026367
10.009921	-133.28706	0.5300293
10.010939	-131.32762	0.53979492
10.011353	-133.39308	0.54956055
10.012694	-135.88055	0.55932617
10.013862	-142.83084	0.5690918
10.015001	-137.92635	0.57885742
10.015395	-130.35452	0.58862305
10.016566	-127.2674	0.59838867
10.016178	-127.87167	0.6081543
10.017505	-135.40636	0.61791992
10.017344	-136.1786	0.62768555
10.019388	-133.89583	0.63745117
10.019312	-130.50127	0.6472168
10.02111	-125.36143	0.65698242
10.02191	-124.77305	0.66674805
10.02197	-128.16313	0.67651367
10.023187	-131.88707	0.6862793
10.024589	-132.76196	0.69604492
10.02504	-128.80392	0.70581055
10.024544	-122.39036	0.71557617
10.025546	-119.43657	0.7253418
10.02669	-123.29018	0.73510742
10.028028	-127.16496	0.74487305
10.029334	-128.44781	0.75463867
10.029634	-125.34118	0.7644043
10.03014	-123.78973	0.77416992
10.031562	-120.08058	0.78393555
10.03249	-116.64006	0.79370117
10.03322	-120.1599	0.8034668
10.034219	-124.73492	0.81323242
10.034697	-127.55846	0.82299805
10.035978	-119.04587	0.83276367
10.034585	-115.55856	0.8425293
10.036569	-115.05914	0.85229492
10.03787	-114.76542	0.86206055
10.039107	-120.195	0.87182617
10.039546	-120.68681	0.8815918
10.040305	-120.60752	0.89135742
10.040847	-118.40756	0.90112305
10.042507	-110.01137	0.91088867
10.043321	-109.69229	0.9206543
10.043381	-113.24654	0.93041992
10.044258	-117.60774	0.94018555
10.045615	-119.93381	0.94995117
10.045059	-110.98582	0.9597168
10.04751	-110.44459	0.96948242
10.048033	-106.11598	0.97924805
10.048107	-107.8564	0.98901367
10.04882	-111.91763	0.9987793
10.050846	-113.67292	1.0085449
10.050513	-115.02125	1.0183105
10.052168	-106.88181	1.0280762
10.052228	-100.3975	1.0378418
10.052265	-103.17883	1.0476074
10.053694	-107.79932	1.057373
10.055455	-112.0301	1.0671387
10.05558	-109.84516	1.0769043
10.056509	-104.10477	1.0866699
10.058435	-100.04613	1.0964355
10.05809	-98.368889	1.1062012
10.059165	-100.66351	1.1159668
10.060353	-106.49299	1.1257324
10.060406	-110.5557	1.135498
10.06126	-104.69425	1.1452637
10.062371	-95.831551	1.1550293
10.063229	-92.857918	1.1647949
10.063569	-97.514633	1.1745605
10.063852	-103.00657	1.1843262
10.066124	-103.13433	1.1940918
10.066233	-100.22359	1.2038574
10.067128	-94.426704	1.213623
10.068114	-93.211273	1.2233887
10.069033	-89.671272	1.2331543
10.069361	-93.751839	1.2429199
10.071105	-103.19575	1.2526855
10.07098	-98.211403	1.2624512
10.072062	-93.924347	1.2722168
10.07364	-88.51535	1.2819824
10.072965	-87.522728	1.291748
10.073724	-91.027557	1.3015137
10.075325	-94.947601	1.3112793
10.076363	-95.682869	1.3210449
10.07654	-92.398239	1.3308105
10.078391	-89.297798	1.3405762
10.078208	-85.602013	1.3503418
10.079446	-83.570457	1.3601074
10.081168	-91.748741	1.369873
10.080681	-92.956703	1.3796387
10.082567	-90.692932	1.3894043
10.082662	-85.476349	1.3991699
10.082691	-81.64753	1.4089355
10.084116	-83.377991	1.4187012
10.085813	-85.729965	1.4284668
10.086028	-86.730141	1.4382324
10.085588	-86.92205	1.447998
10.08758	-87.038956	1.4577637
10.088462	-80.858032	1.4675293
10.089381	-76.918976	1.4772949
10.08991	-77.618141	1.4870605
10.090227	-81.794807	1.4968262
10.091646	-87.206657	1.5065918
10.09267	-80.791809	1.5163574
10.092121	-80.105995	1.526123
10.093125	-75.938354	1.5358887
10.095077	-72.995483	1.5456543
10.095662	-76.422012	1.5554199
10.096004	-78.93679	1.5651855
10.096536	-82.116135	1.5749512
10.098753	-78.212463	1.5847168
10.098943	-70.885406	1.5944824
10.101487	-69.597069	1.604248
10.100205	-71.375549	1.6140137
10.101741	-78.067574	1.6237793
10.101013	-77.66835	1.6335449
10.102147	-73.549301	1.6433105
10.104079	-72.878403	1.6530762
10.104692	-64.726135	1.6628418
10.104662	-64.942474	1.6726074
10.105979	-69.200584	1.682373
10.106539	-72.489632	1.6921387
10.108635	-76.140457	1.7019043
10.108209	-66.384583	1.7116699
10.110092	-62.279991	1.7214355
10.110781	-61.85648	1.7312012
10.11123	-63.310749	1.7409668
10.111366	-71.10807	1.7507324
10.111794	-70.65535	1.760498
10.113613	-66.333237	1.7702637
10.115005	-59.427856	1.7800293
