MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_4545_r0			Time:	20.017822	s	4/14/2019 4:58:42 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9570599	-121.86633	0.022705078
9.95786	-116.23161	0.032470703
9.9576788	-120.68875	0.042236328
9.9579906	-131.73091	0.052001953
9.9571381	-135.03911	0.061767578
9.9582701	-131.66859	0.071533203
9.9578753	-126.0388	0.081298828
9.9581223	-121.79237	0.091064453
9.9596519	-119.26343	0.10083008
9.9598923	-118.41792	0.1105957
9.9617262	-127.91537	0.12036133
9.9619102	-130.2328	0.13012695
9.9630985	-128.22647	0.13989258
9.963459	-121.92892	0.1496582
9.9648781	-113.05304	0.15942383
9.9660196	-118.29966	0.16918945
9.9651012	-121.20498	0.17895508
9.9664078	-124.49114	0.1887207
9.9686155	-125.52272	0.19848633
9.9681091	-120.5542	0.20825195
9.9691973	-115.7884	0.21801758
9.9689407	-110.1367	0.2277832
9.9715014	-112.22471	0.23754883
9.9718866	-120.091	0.24731445
9.9720507	-125.65336	0.25708008
9.9729776	-121.29711	0.2668457
9.9738092	-112.24676	0.27661133
9.9745598	-110.03015	0.28637695
9.9756594	-109.93104	0.29614258
9.9777031	-115.82992	0.3059082
9.9775505	-118.18982	0.31567383
9.978694	-119.64454	0.32543945
9.979516	-115.22697	0.33520508
9.9791126	-107.09793	0.3449707
9.9803391	-105.30482	0.35473633
9.9815016	-108.29239	0.36450195
9.9826651	-117.49891	0.37426758
9.982358	-119.68533	0.3840332
9.983551	-112.78292	0.39379883
9.9850349	-107.12055	0.40356445
9.9859076	-100.58224	0.41333008
9.9871206	-105.0131	0.4230957
9.9867697	-111.13512	0.43286133
9.9881821	-113.85175	0.44262695
9.9886045	-116.19097	0.45239258
9.9896631	-105.2971	0.4621582
9.9909153	-98.557137	0.47192383
9.9907856	-97.911758	0.48168945
9.9917488	-103.62135	0.49145508
9.9936256	-114.76599	0.5012207
9.9937124	-111.26605	0.51098633
9.9946699	-105.55387	0.52075195
9.9948349	-99.141403	0.53051758
9.9960337	-96.007164	0.5402832
9.9973202	-101.245	0.55004883
9.998702	-105.84047	0.55981445
9.9984293	-110.87363	0.56958008
9.9990797	-106.81042	0.5793457
10.000052	-96.60659	0.58911133
10.001405	-92.02047	0.59887695
10.000784	-95.175713	0.60864258
10.002481	-101.69107	0.6184082
10.003636	-106.92307	0.62817383
10.00456	-103.29636	0.63793945
10.004665	-96.360077	0.64770508
10.005612	-93.473839	0.6574707
10.006584	-89.989845	0.66723633
10.007036	-92.724548	0.67700195
10.008099	-101.66683	0.68676758
10.009521	-100.62796	0.6965332
10.009847	-98.161629	0.70629883
10.010118	-88.142624	0.71606445
10.011338	-85.027748	0.72583008
10.011996	-91.37397	0.7355957
10.013868	-93.18325	0.74536133
10.013829	-98.30793	0.75512695
10.014325	-95.847992	0.76489258
10.015575	-89.700333	0.7746582
10.015514	-86.079689	0.78442383
10.017558	-81.533211	0.79418945
10.01849	-88.889618	0.80395508
10.018773	-93.442444	0.8137207
10.019237	-93.895615	0.82348633
10.020018	-89.692169	0.83325195
10.021049	-80.423996	0.84301758
10.022043	-81.870903	0.8527832
10.022528	-81.94268	0.86254883
10.023446	-88.154411	0.87231445
10.02485	-91.969864	0.88208008
10.025445	-90.339554	0.8918457
10.026236	-85.41584	0.90161133
10.026473	-76.155243	0.91137695
10.027741	-74.926094	0.92114258
10.028532	-82.24234	0.9309082
10.029865	-89.044662	0.94067383
10.029574	-88.982605	0.95043945
10.030416	-81.9375	0.96020508
10.031214	-74.428596	0.9699707
10.032976	-72.98587	0.97973633
10.032919	-76.485275	0.98950195
10.034775	-80.848022	0.99926758
10.035353	-86.116585	1.0090332
10.035322	-83.466248	1.0187988
10.036315	-72.590469	1.0285645
10.037105	-69.050079	1.0383301
10.038113	-68.50602	1.0480957
10.038524	-79.023293	1.0578613
10.039969	-84.872353	1.067627
10.041376	-79.366974	1.0773926
10.041884	-72.392113	1.0871582
10.042291	-63.460484	1.0969238
10.042319	-66.811462	1.1066895
10.044167	-71.840126	1.1164551
10.043758	-78.101791	1.1262207
10.046075	-81.803955	1.1359863
10.047465	-71.670486	1.145752
10.047634	-63.652584	1.1555176
10.048581	-62.238201	1.1652832
10.049325	-65.671814	1.1750488
10.049343	-75.645859	1.1848145
10.050351	-75.423759	1.1945801
10.051468	-70.954147	1.2043457
10.052105	-64.503685	1.2141113
10.0524	-59.985023	1.223877
10.053977	-61.098202	1.2336426
10.054939	-65.33197	1.2434082
10.055889	-73.779823	1.2531738
10.056122	-73.137245	1.2629395
10.056342	-63.476822	1.2727051
10.057994	-55.73074	1.2824707
10.058385	-55.903667	1.2922363
10.058977	-62.107548	1.302002
10.059243	-69.54718	1.3117676
10.060851	-66.875145	1.3215332
10.061943	-62.930717	1.3312988
10.062368	-58.195499	1.3410645
10.063571	-52.93449	1.3508301
10.064178	-56.710278	1.3605957
10.064992	-61.192749	1.3703613
10.065915	-65.517044	1.380127
10.066229	-65.569328	1.3898926
10.067578	-55.642704	1.3996582
10.069568	-50.404152	1.4094238
10.069084	-52.677353	1.4191895
10.071001	-53.929272	1.4289551
10.071757	-60.632706	1.4387207
10.071676	-59.797916	1.4484863
10.072479	-57.18924	1.458252
10.07332	-51.724255	1.4680176
10.075037	-46.037384	1.4777832
10.075627	-48.20512	1.4875488
10.07529	-54.320438	1.4973145
10.075852	-59.488579	1.5070801
10.078061	-56.997753	1.5168457
10.0786	-46.275822	1.5266113
10.078517	-44.809666	1.536377
10.080065	-41.822727	1.5461426
10.080458	-49.827351	1.5559082
10.081523	-53.585285	1.5656738
10.083008	-53.101723	1.5754395
10.083934	-50.217472	1.5852051
10.083836	-43.020733	1.5949707
10.083583	-35.979275	1.6047363
10.085159	-42.099846	1.614502
10.086498	-50.04303	1.6242676
10.087117	-53.424744	1.6340332
10.088284	-47.283798	1.6437988
10.089724	-38.465813	1.6535645
10.089899	-35.326702	1.6633301
10.090014	-37.882732	1.6730957
10.091671	-41.902924	1.6828613
10.091927	-48.560307	1.692627
10.093579	-47.300449	1.7023926
10.092257	-40.54134	1.7121582
10.093961	-32.703678	1.7219238
10.095198	-30.210388	1.7316895
10.096225	-39.198692	1.7414551
10.096203	-46.29929	1.7512207
10.097478	-45.215248	1.7609863
10.098129	-40.096111	1.770752
