MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_090_r0			Time:	20.017334	s	4/14/2019 1:33:05 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.041958	-242.7818	0.022460938
-40.040234	-242.48756	0.032226563
-40.040745	-234.4023	0.041992188
-40.042103	-235.77016	0.051757813
-40.0401	-238.98627	0.061523438
-40.04052	-238.88225	0.071289063
-40.041267	-241.41953	0.081054688
-40.039173	-240.45244	0.090820313
-40.038792	-238.76538	0.10058594
-40.038239	-236.61821	0.11035156
-40.037521	-231.13123	0.12011719
-40.036366	-233.97531	0.12988281
-40.035797	-238.55716	0.13964844
-40.035397	-239.04701	0.14941406
-40.03339	-235.61833	0.15917969
-40.031219	-229.80202	0.16894531
-40.032364	-232.24976	0.17871094
-40.031521	-232.09807	0.18847656
-40.030697	-232.25153	0.19824219
-40.029938	-233.94998	0.20800781
-40.029095	-233.98755	0.21777344
-40.028526	-233.20796	0.22753906
-40.027786	-228.5905	0.23730469
-40.027061	-225.35475	0.24707031
-40.024963	-231.38858	0.25683594
-40.025299	-229.70253	0.26660156
-40.025055	-231.34154	0.27636719
-40.023636	-228.37018	0.28613281
-40.022312	-227.18605	0.29589844
-40.021835	-228.52267	0.30566406
-40.021034	-225.69055	0.31542969
-40.019424	-224.91595	0.32519531
-40.020027	-228.62634	0.33496094
-40.01844	-227.26872	0.34472656
-40.017612	-225.83331	0.35449219
-40.016361	-220.49203	0.36425781
-40.015808	-219.99826	0.37402344
-40.015636	-223.59732	0.38378906
-40.014225	-222.83771	0.39355469
-40.013428	-224.66962	0.40332031
-40.01268	-222.3201	0.41308594
-40.012653	-222.84003	0.42285156
-40.01152	-220.20486	0.43261719
-40.00983	-215.31499	0.44238281
-40.009525	-219.14706	0.45214844
-40.008369	-223.13495	0.46191406
-40.008385	-223.27196	0.47167969
-40.007427	-218.94077	0.48144531
-40.006645	-215.46147	0.49121094
-40.00576	-213.28375	0.50097656
-40.004265	-219.51326	0.51074219
-40.004238	-218.19795	0.52050781
-40.002552	-218.38063	0.53027344
-40.001808	-218.16261	0.54003906
-40.001019	-212.17212	0.54980469
-39.999641	-212.17343	0.55957031
-39.999336	-210.47873	0.56933594
-39.999966	-215.35391	0.57910156
-39.999828	-218.0761	0.58886719
-39.997234	-214.9304	0.59863281
-39.996365	-209.63408	0.60839844
-39.995049	-206.90768	0.61816406
-39.995193	-209.98315	0.62792969
-39.993736	-211.68723	0.63769531
-39.993355	-212.19597	0.64746094
-39.992077	-215.26979	0.65722656
-39.99197	-210.41635	0.66699219
-39.990982	-206.20541	0.67675781
-39.989986	-204.57463	0.68652344
-39.989418	-207.87518	0.69628906
-39.987965	-212.17424	0.70605469
-39.98724	-211.35126	0.71582031
-39.987026	-206.31389	0.72558594
-39.987141	-204.70023	0.73535156
-39.984615	-202.97281	0.74511719
-39.985779	-204.62151	0.75488281
-39.984657	-204.66628	0.76464844
-39.983746	-207.46515	0.77441406
-39.981647	-204.82245	0.78417969
-39.981255	-201.70724	0.79394531
-39.979813	-197.87529	0.80371094
-39.978321	-200.67847	0.81347656
-39.97879	-202.90755	0.82324219
-39.978752	-205.3625	0.83300781
-39.976669	-201.80104	0.84277344
-39.975464	-199.09138	0.85253906
-39.975605	-199.1039	0.86230469
-39.97506	-196.29814	0.87207031
-39.974293	-197.0412	0.88183594
-39.972015	-199.13312	0.89160156
-39.97298	-199.59483	0.90136719
-39.971237	-199.40067	0.91113281
-39.971256	-195.20432	0.92089844
-39.969391	-192.04543	0.93066406
-39.968586	-196.24641	0.94042969
-39.968109	-194.32414	0.95019531
-39.965881	-197.89433	0.95996094
-39.966007	-194.55438	0.96972656
-39.96608	-194.76239	0.97949219
-39.964397	-194.12424	0.98925781
-39.963238	-189.92982	0.99902344
-39.962582	-191.78378	1.0087891
-39.961426	-191.71719	1.0185547
-39.96241	-195.17911	1.0283203
-39.960873	-193.18187	1.0380859
-39.959435	-185.60197	1.0478516
-39.957771	-189.09846	1.0576172
-39.957985	-187.30457	1.0673828
-39.957195	-189.83916	1.0771484
-39.955948	-190.90233	1.0869141
-39.95536	-190.86754	1.0966797
-39.955276	-189.2484	1.1064453
-39.952972	-185.44145	1.1162109
-39.953773	-181.28055	1.1259766
-39.953487	-184.73085	1.1357422
-39.95145	-189.29132	1.1455078
-39.951542	-190.20334	1.1552734
-39.951027	-186.21858	1.1650391
-39.948109	-181.95323	1.1748047
-39.948475	-180.08484	1.1845703
-39.948212	-181.61844	1.1943359
-39.947208	-182.88881	1.2041016
-39.944889	-186.22391	1.2138672
-39.945671	-185.16171	1.2236328
-39.944653	-181.09082	1.2333984
-39.943172	-176.19135	1.2431641
-39.943638	-177.55844	1.2529297
-39.941284	-181.32816	1.2626953
-39.940567	-183.88293	1.2724609
-39.940098	-180.21837	1.2822266
-39.938988	-177.93355	1.2919922
-39.938324	-175.73068	1.3017578
-39.937752	-175.95377	1.3115234
-39.937366	-175.21075	1.3212891
-39.936874	-177.13896	1.3310547
-39.935802	-180.11096	1.3408203
-39.934246	-176.6053	1.3505859
-39.934586	-172.88472	1.3603516
-39.933113	-168.71761	1.3701172
-39.931778	-173.11752	1.3798828
-39.931286	-178.0074	1.3896484
-39.930405	-177.45541	1.3994141
-39.929745	-172.06805	1.4091797
-39.929646	-170.12897	1.4189453
-39.928867	-169.14075	1.4287109
-39.927094	-169.08849	1.4384766
-39.926323	-169.32578	1.4482422
-39.925323	-173.97554	1.4580078
-39.925552	-171.13084	1.4677734
-39.923733	-169.18983	1.4775391
-39.924332	-166.14749	1.4873047
-39.922539	-164.57092	1.4970703
-39.921696	-168.04529	1.5068359
-39.920765	-170.75302	1.5166016
-39.919987	-167.92992	1.5263672
-39.919823	-167.16887	1.5361328
-39.918003	-165.97108	1.5458984
-39.917313	-162.99197	1.5556641
-39.916153	-163.20694	1.5654297
-39.916553	-162.55043	1.5751953
-39.917053	-165.00856	1.5849609
-39.914272	-166.92169	1.5947266
-39.913914	-161.12926	1.6044922
-39.912579	-160.71565	1.6142578
-39.91301	-162.03291	1.6240234
-39.911579	-160.80135	1.6337891
-39.910305	-161.91629	1.6435547
-39.908955	-161.50002	1.6533203
-39.908657	-162.49017	1.6630859
-39.907272	-158.86472	1.6728516
-39.907475	-155.46143	1.6826172
-39.906147	-154.60327	1.6923828
