MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_090_r0			Time:	20.017578	s	4/14/2019 2:01:57 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-37.125751	-108.73627	0.022705078
-37.1264	-108.83611	0.032470703
-37.125183	-110.50953	0.042236328
-37.125595	-113.18074	0.052001953
-37.124943	-109.04344	0.061767578
-37.126091	-110.45613	0.071533203
-37.125183	-107.90302	0.081298828
-37.125416	-108.40382	0.091064453
-37.124336	-108.61796	0.10083008
-37.124454	-110.78687	0.1105957
-37.122814	-115.38513	0.12036133
-37.122379	-109.19455	0.13012695
-37.12117	-102.73443	0.13989258
-37.12085	-104.18441	0.1496582
-37.119751	-104.84161	0.15942383
-37.119061	-107.72168	0.16918945
-37.118286	-107.12469	0.17895508
-37.116184	-108.90296	0.1887207
-37.116783	-104.78487	0.19848633
-37.115284	-101.86165	0.20825195
-37.114754	-100.26463	0.21801758
-37.114166	-103.16416	0.2277832
-37.114223	-107.95766	0.23754883
-37.111919	-104.67207	0.24731445
-37.11031	-101.13927	0.25708008
-37.110703	-96.61158	0.2668457
-37.109749	-97.650078	0.27661133
-37.109127	-101.36986	0.28637695
-37.108486	-99.015923	0.29614258
-37.107742	-101.45993	0.3059082
-37.107521	-99.676605	0.31567383
-37.105885	-96.94928	0.32543945
-37.104259	-94.484268	0.33520508
-37.104683	-91.770271	0.3449707
-37.104023	-99.230698	0.35473633
-37.101212	-97.543343	0.36450195
-37.102211	-95.644859	0.37426758
-37.099812	-93.899048	0.3840332
-37.100628	-91.462196	0.39379883
-37.097839	-93.664734	0.40356445
-37.09927	-92.436745	0.41333008
-37.098114	-91.736374	0.4230957
-37.096294	-95.702919	0.43286133
-37.096195	-93.900642	0.44262695
-37.095455	-91.221107	0.45239258
-37.09457	-86.001495	0.4621582
-37.092819	-88.321342	0.47192383
-37.092911	-91.111137	0.48168945
-37.091961	-91.228012	0.49145508
-37.091473	-90.639244	0.5012207
-37.090611	-87.910233	0.51098633
-37.089691	-86.461937	0.52075195
-37.089104	-83.991051	0.53051758
-37.087559	-85.115494	0.5402832
-37.086548	-85.756081	0.55004883
-37.085907	-90.776909	0.55981445
-37.084873	-88.643684	0.56958008
-37.084232	-81.54599	0.5793457
-37.084114	-81.728828	0.58911133
-37.082989	-81.42923	0.59887695
-37.083488	-86.204819	0.60864258
-37.081863	-86.001617	0.6184082
-37.079239	-81.469955	0.62817383
-37.079891	-83.764153	0.63793945
-37.078617	-76.193375	0.64770508
-37.078632	-77.034843	0.6574707
-37.077637	-77.599747	0.66723633
-37.075073	-81.311638	0.67700195
-37.076557	-83.979446	0.68676758
-37.074123	-77.665581	0.6965332
-37.074078	-73.59684	0.70629883
-37.073067	-73.006462	0.71606445
-37.072422	-75.781837	0.72583008
-37.071918	-81.115417	0.7355957
-37.070042	-76.847206	0.74536133
-37.070042	-77.442429	0.75512695
-37.068626	-72.312988	0.76489258
-37.068398	-71.02327	0.7746582
-37.067234	-70.916512	0.78442383
-37.067036	-73.216927	0.79418945
-37.066486	-80.267815	0.80395508
-37.064751	-75.14373	0.8137207
-37.064327	-70.378319	0.82348633
-37.063705	-67.164314	0.83325195
-37.062645	-68.164421	0.84301758
-37.062317	-70.926857	0.8527832
-37.061729	-71.613213	0.86254883
-37.060135	-70.492409	0.87231445
-37.061134	-67.861061	0.88208008
-37.05864	-67.946541	0.8918457
-37.057148	-63.082523	0.90161133
-37.056217	-64.761871	0.91137695
-37.056057	-70.668755	0.92114258
-37.054943	-68.490761	0.9309082
-37.054142	-67.992516	0.94067383
-37.05418	-61.871849	0.95043945
-37.052921	-60.652138	0.96020508
-37.052322	-64.258835	0.9699707
-37.051579	-62.385941	0.97973633
-37.051769	-64.740105	0.98950195
-37.049145	-63.325397	0.99926758
-37.048264	-62.800369	1.0090332
-37.047794	-61.281551	1.0187988
-37.048038	-55.977356	1.0285645
-37.046181	-62.258396	1.0383301
-37.04504	-61.393982	1.0480957
-37.045212	-61.822083	1.0578613
-37.043484	-58.69799	1.067627
-37.043236	-56.872963	1.0773926
-37.041718	-56.945148	1.0871582
-37.040756	-56.207741	1.0969238
-37.03986	-55.288616	1.1066895
-37.040249	-59.358692	1.1164551
-37.038769	-58.072479	1.1262207
-37.038616	-58.363331	1.1359863
-37.03751	-52.717007	1.145752
-37.036888	-50.892738	1.1555176
-37.036716	-52.758282	1.1652832
-37.034801	-56.322723	1.1750488
-37.034039	-55.491913	1.1848145
-37.032875	-52.326412	1.1945801
-37.032173	-50.968208	1.2043457
-37.031204	-47.825912	1.2141113
-37.030552	-49.217663	1.223877
-37.029652	-50.125687	1.2336426
-37.030666	-52.815804	1.2434082
-37.028496	-53.970413	1.2531738
-37.026463	-48.191158	1.2629395
-37.027184	-42.907181	1.2727051
-37.026772	-43.469486	1.2824707
-37.025391	-48.186199	1.2922363
-37.025047	-51.408661	1.302002
-37.022724	-46.71616	1.3117676
-37.02285	-48.369987	1.3215332
-37.020798	-40.523193	1.3312988
-37.021145	-41.76915	1.3410645
-37.020157	-41.582222	1.3508301
-37.020004	-43.803761	1.3605957
-37.018265	-50.717861	1.3703613
-37.017452	-43.529449	1.380127
-37.016994	-39.124962	1.3898926
-37.016418	-36.907402	1.3996582
-37.01656	-38.871075	1.4094238
-37.015259	-44.829479	1.4191895
-37.012547	-41.719936	1.4289551
-37.013168	-41.996887	1.4387207
-37.01263	-38.905346	1.4484863
-37.01165	-35.137825	1.458252
-37.009865	-36.175171	1.4680176
-37.010075	-36.150028	1.4777832
-37.009064	-41.843475	1.4875488
-37.008965	-40.250004	1.4973145
-37.007122	-35.529343	1.5070801
-37.007107	-33.169361	1.5168457
-37.006763	-32.918282	1.5266113
-37.005043	-35.165619	1.536377
-37.004021	-35.955765	1.5461426
-37.002895	-33.846359	1.5559082
-37.00182	-34.156525	1.5656738
-37.000572	-31.80505	1.5754395
-37.001984	-29.755632	1.5852051
-37.000549	-28.423204	1.5949707
-36.999821	-32.106941	1.6047363
-36.998608	-31.387865	1.614502
-36.998684	-33.484688	1.6242676
-36.997433	-28.121603	1.6340332
-36.995575	-26.59269	1.6437988
-36.995384	-27.95459	1.6535645
-36.994522	-26.640329	1.6633301
-36.993435	-27.891973	1.6730957
-36.991619	-28.658636	1.6828613
-36.992325	-28.18882	1.692627
