MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_4545_r0			Time:	20.017334	s	4/13/2019 8:38:08 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.034275	-233.88301	0.022216797
-40.034351	-232.37422	0.031982422
-40.034195	-230.30177	0.041748047
-40.03347	-231.81184	0.051513672
-40.033257	-230.86115	0.061279297
-40.033173	-227.90405	0.071044922
-40.032372	-232.06371	0.080810547
-40.031471	-231.59181	0.090576172
-40.029575	-232.74809	0.1003418
-40.03046	-229.34282	0.11010742
-40.02956	-225.21573	0.11987305
-40.029011	-228.02399	0.12963867
-40.027451	-226.34274	0.1394043
-40.025883	-225.5977	0.14916992
-40.026272	-229.87061	0.15893555
-40.025436	-228.51741	0.16870117
-40.025055	-227.88611	0.1784668
-40.022892	-221.65907	0.18823242
-40.022732	-221.41136	0.19799805
-40.022499	-224.42722	0.20776367
-40.020119	-224.30092	0.2175293
-40.0201	-223.96526	0.22729492
-40.020226	-221.11403	0.23706055
-40.019024	-220.78665	0.24682617
-40.016594	-217.50072	0.2565918
-40.017616	-216.22966	0.26635742
-40.015686	-218.48578	0.27612305
-40.015057	-222.64178	0.28588867
-40.016579	-222.37325	0.2956543
-40.012356	-215.74373	0.30541992
-40.012421	-211.95413	0.31518555
-40.011734	-213.88898	0.32495117
-40.010952	-217.13713	0.3347168
-40.011677	-218.45827	0.34448242
-40.010914	-216.45168	0.35424805
-40.007713	-215.00363	0.36401367
-40.007568	-210.19803	0.3737793
-40.006596	-211.49719	0.38354492
-40.005604	-211.95343	0.39331055
-40.005173	-213.49382	0.40307617
-40.005238	-218.80698	0.4128418
-40.003662	-212.18083	0.42260742
-40.002285	-208.9288	0.43237305
-40.002071	-205.93193	0.44213867
-40.0014	-207.48146	0.4519043
-40.000557	-212.92366	0.46166992
-40.000862	-209.97473	0.47143555
-39.998833	-211.09705	0.48120117
-39.998337	-206.2646	0.4909668
-39.996696	-203.99815	0.50073242
-39.997524	-203.71031	0.51049805
-39.995731	-204.70358	0.52026367
-39.994049	-209.75378	0.5300293
-39.995483	-208.59137	0.53979492
-39.993217	-203.59212	0.54956055
-39.991261	-200.71188	0.55932617
-39.991535	-199.79916	0.5690918
-39.991123	-203.90343	0.57885742
-39.990578	-203.33145	0.58862305
-39.990017	-203.06657	0.59838867
-39.988503	-203.62601	0.6081543
-39.987804	-200.5654	0.61791992
-39.987877	-198.11839	0.62768555
-39.986084	-195.95026	0.63745117
-39.985115	-201.90157	0.6472168
-39.984325	-201.44049	0.65698242
-39.984406	-199.13657	0.66674805
-39.983356	-195.47792	0.67651367
-39.982071	-193.39209	0.6862793
-39.981514	-194.3549	0.69604492
-39.980663	-195.98073	0.70581055
-39.980198	-194.66072	0.71557617
-39.978825	-196.30295	0.7253418
-39.976768	-196.98268	0.73510742
-39.977692	-190.86922	0.74487305
-39.976093	-189.05336	0.75463867
-39.974686	-192.563	0.7644043
-39.975243	-191.36438	0.77416992
-39.974705	-195.32162	0.78393555
-39.973907	-190.47052	0.79370117
-39.972069	-188.53459	0.8034668
-39.972485	-190.66693	0.81323242
-39.971783	-184.64528	0.82299805
-39.969166	-186.92973	0.83276367
-39.970448	-187.69113	0.8425293
-39.967731	-189.70705	0.85229492
-39.965992	-190.1409	0.86206055
-39.966156	-183.14789	0.87182617
-39.965385	-182.21558	0.8815918
-39.96508	-181.36078	0.89135742
-39.963364	-184.2469	0.90112305
-39.963173	-187.71933	0.91088867
-39.962883	-182.23651	0.9206543
-39.961105	-185.16896	0.93041992
-39.960823	-179.34029	0.94018555
-39.95961	-176.57973	0.94995117
-39.959728	-181.13239	0.9597168
-39.958672	-182.25157	0.96948242
-39.957191	-184.62109	0.97924805
-39.956413	-180.19232	0.98901367
-39.955921	-172.98943	0.9987793
-39.954781	-175.1667	1.0085449
-39.955051	-176.1272	1.0183105
-39.952553	-178.44598	1.0280762
-39.95282	-177.53824	1.0378418
-39.95118	-178.44467	1.0476074
-39.95042	-173.10042	1.057373
-39.948696	-171.79634	1.0671387
-39.950008	-170.7429	1.0769043
-39.948681	-175.11263	1.0866699
-39.94902	-177.27455	1.0964355
-39.946419	-175.14296	1.1062012
-39.945465	-170.27174	1.1159668
-39.944489	-166.24966	1.1257324
-39.944557	-169.54669	1.135498
-39.945435	-171.89455	1.1452637
-39.942993	-171.43855	1.1550293
-39.942966	-173.30623	1.1647949
-39.941666	-167.66342	1.1745605
-39.940914	-166.29156	1.1843262
-39.939507	-164.11192	1.1940918
-39.937176	-164.1998	1.2038574
-39.938198	-171.42896	1.213623
-39.937447	-167.79498	1.2233887
-39.935928	-166.1575	1.2331543
-39.936211	-162.03806	1.2429199
-39.934566	-162.63019	1.2526855
-39.934597	-165.28621	1.2624512
-39.932674	-163.46646	1.2722168
-39.932468	-162.98982	1.2819824
-39.930305	-164.41292	1.291748
-39.931469	-161.12619	1.3015137
-39.931339	-159.37386	1.3112793
-39.929813	-156.02599	1.3210449
-39.92762	-161.31358	1.3308105
-39.928082	-161.62624	1.3405762
-39.926624	-160.46544	1.3503418
-39.925686	-157.89241	1.3601074
-39.925953	-155.72296	1.369873
-39.924232	-156.81284	1.3796387
-39.922714	-155.93381	1.3894043
-39.922588	-154.90018	1.3991699
-39.921829	-157.32886	1.4089355
-39.921547	-158.03221	1.4187012
-39.92075	-153.73528	1.4284668
-39.919773	-149.99866	1.4382324
-39.918526	-150.98532	1.447998
-39.917583	-150.14799	1.4577637
-39.916702	-154.69806	1.4675293
-39.916027	-151.35347	1.4772949
-39.914986	-149.9642	1.4870605
-39.914837	-150.37843	1.4968262
-39.914196	-146.6564	1.5065918
-39.913155	-146.48097	1.5163574
-39.912029	-146.33391	1.526123
-39.910084	-149.91348	1.5358887
-39.911148	-150.20686	1.5456543
-39.90905	-145.19862	1.5554199
-39.908012	-144.11342	1.5651855
-39.907581	-142.98973	1.5749512
-39.907227	-146.09222	1.5847168
-39.905739	-147.20543	1.5944824
-39.905415	-143.81754	1.604248
-39.904526	-147.3275	1.6140137
-39.904369	-138.95169	1.6237793
-39.902752	-138.73141	1.6335449
-39.902195	-141.27843	1.6433105
-39.901405	-142.61546	1.6530762
-39.900242	-146.03308	1.6628418
-39.901016	-140.74118	1.6726074
-39.899075	-135.7585	1.682373
-39.897625	-136.28337	1.6921387
