MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_090_r0			Time:	20.022461	s	4/15/2019 2:36:23 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9717016	-144.55763	0.02734375
9.972764	-143.51099	0.037109375
9.972064	-142.68936	0.046875
9.9724331	-138.94595	0.056640625
9.9713526	-135.50281	0.06640625
9.9718227	-134.54913	0.076171875
9.9729319	-136.78271	0.0859375
9.9732561	-144.79355	0.095703125
9.9735403	-144.57874	0.10546875
9.9745798	-139.03723	0.11523438
9.9748068	-136.76231	0.125
9.9759321	-130.89848	0.13476563
9.9773417	-136.22128	0.14453125
9.9777756	-138.26753	0.15429688
9.978405	-141.29752	0.1640625
9.9796658	-143.52875	0.17382813
9.9797487	-133.93193	0.18359375
9.9819126	-128.52112	0.19335938
9.9819174	-127.69069	0.203125
9.9832535	-134.21497	0.21289063
9.9833555	-141.78189	0.22265625
9.9840765	-136.59984	0.23242188
9.9854174	-133.27493	0.2421875
9.98596	-126.47713	0.25195313
9.9864712	-125.7492	0.26171875
9.9868584	-128.08252	0.27148438
9.9888372	-131.77426	0.28125
9.9899664	-137.69603	0.29101563
9.9894953	-132.62578	0.30078125
9.99053	-124.88942	0.31054688
9.9924078	-122.41344	0.3203125
9.9922152	-124.33001	0.33007813
9.9939022	-132.27135	0.33984375
9.9938574	-133.35402	0.34960938
9.9953012	-131.10197	0.359375
9.9950562	-125.48798	0.36914063
9.9964151	-121.84246	0.37890625
9.9970169	-119.81943	0.38867188
9.997406	-123.38646	0.3984375
9.9986277	-130.02208	0.40820313
9.9995775	-129.64458	0.41796875
10.000038	-125.36879	0.42773438
10.001411	-117.60664	0.4375
10.001814	-117.55484	0.44726563
10.001993	-121.04613	0.45703125
10.004385	-124.42123	0.46679688
10.005683	-125.75404	0.4765625
10.005322	-122.63571	0.48632813
10.006534	-121.18005	0.49609375
10.007538	-114.94575	0.50585938
10.008738	-114.05763	0.515625
10.007316	-120.26955	0.52539063
10.009286	-121.15813	0.53515625
10.010887	-123.7286	0.54492188
10.011412	-117.33527	0.5546875
10.012745	-110.75581	0.56445313
10.012515	-114.46602	0.57421875
10.013376	-112.36122	0.58398438
10.013239	-117.62611	0.59375
10.015951	-119.66718	0.60351563
10.015697	-118.09172	0.61328125
10.01758	-115.08619	0.62304688
10.017929	-107.64274	0.6328125
10.019041	-109.15826	0.64257813
10.02	-113.32441	0.65234375
10.020378	-117.47509	0.66210938
10.019884	-117.29381	0.671875
10.02131	-110.34231	0.68164063
10.022271	-107.84122	0.69140625
10.024323	-105.60182	0.70117188
10.024473	-107.15359	0.7109375
10.024697	-111.19412	0.72070313
10.026355	-115.78951	0.73046875
10.027554	-110.96637	0.74023438
10.027863	-105.35633	0.75
10.027565	-100.24841	0.75976563
10.028835	-103.41506	0.76953125
10.029398	-109.86517	0.77929688
10.031044	-112.05574	0.7890625
10.031489	-110.39714	0.79882813
10.032001	-104.74424	0.80859375
10.03407	-97.619652	0.81835938
10.032953	-100.23707	0.828125
10.034719	-99.747154	0.83789063
10.036052	-108.0431	0.84765625
10.035316	-109.66097	0.85742188
10.03727	-103.77778	0.8671875
10.037301	-95.63562	0.87695313
10.03826	-92.807793	0.88671875
10.03925	-99.119865	0.89648438
10.040875	-103.90963	0.90625
10.040699	-104.09274	0.91601563
10.042564	-103.95418	0.92578125
10.043164	-95.013344	0.93554688
10.043814	-93.238533	0.9453125
10.044436	-93.908745	0.95507813
10.045774	-98.692291	0.96484375
10.04612	-105.93003	0.97460938
10.047443	-101.96033	0.984375
10.047033	-95.589455	0.99414063
10.049177	-88.261627	1.0039063
10.050531	-88.461281	1.0136719
10.049418	-96.197235	1.0234375
10.051027	-99.05938	1.0332031
10.052888	-97.45784	1.0429688
10.052852	-93.815987	1.0527344
10.05389	-89.717896	1.0625
10.054505	-86.555023	1.0722656
10.055694	-87.575233	1.0820313
10.056742	-94.367493	1.0917969
10.056544	-97.314278	1.1015625
10.057864	-92.840935	1.1113281
10.058253	-86.876251	1.1210938
10.05867	-85.414368	1.1308594
10.058855	-84.24382	1.140625
10.060403	-89.408005	1.1503906
10.061744	-89.400337	1.1601563
10.062665	-90.381775	1.1699219
10.063731	-88.752251	1.1796875
10.06288	-81.99353	1.1894531
10.065255	-78.563995	1.1992188
10.065735	-83.563896	1.2089844
10.066559	-86.719643	1.21875
10.068015	-88.859482	1.2285156
10.068738	-85.561638	1.2382813
10.069839	-81.943031	1.2480469
10.070171	-80.009079	1.2578125
10.070687	-78.449722	1.2675781
10.071758	-81.393913	1.2773438
10.072205	-82.657982	1.2871094
10.073258	-87.325539	1.296875
10.073463	-82.019882	1.3066406
10.075081	-72.463081	1.3164063
10.075998	-73.971428	1.3261719
10.076923	-75.477928	1.3359375
10.078535	-82.000778	1.3457031
10.077394	-83.226555	1.3554688
10.078309	-77.556541	1.3652344
10.080034	-75.739693	1.375
10.080983	-69.675392	1.3847656
10.081777	-70.770103	1.3945313
10.082908	-73.767708	1.4042969
10.082298	-79.153465	1.4140625
10.083396	-81.806091	1.4238281
10.084158	-71.94841	1.4335938
10.085883	-65.488472	1.4433594
10.086036	-67.228615	1.453125
10.08672	-69.739418	1.4628906
10.087817	-75.872154	1.4726563
10.08746	-75.880539	1.4824219
10.089938	-72.641853	1.4921875
10.089757	-64.772606	1.5019531
10.090878	-62.683174	1.5117188
10.092021	-63.901558	1.5214844
10.09224	-71.547699	1.53125
10.092715	-74.62722	1.5410156
10.094686	-72.052597	1.5507813
10.09439	-63.017925	1.5605469
10.095265	-57.448376	1.5703125
10.09657	-61.315853	1.5800781
10.098984	-64.79248	1.5898438
10.098714	-69.931656	1.5996094
10.099242	-69.157486	1.609375
10.099586	-61.22258	1.6191406
10.100912	-58.759769	1.6289063
10.10219	-54.215942	1.6386719
10.102917	-61.030098	1.6484375
10.103398	-68.25235	1.6582031
10.103494	-66.478973	1.6679688
10.104871	-61.598202	1.6777344
10.105775	-54.26273	1.6875
10.106323	-53.429466	1.6972656
10.107457	-56.989746	1.7070313
10.108241	-59.822956	1.7167969
10.109037	-62.918118	1.7265625
10.109866	-59.258823	1.7363281
10.110191	-55.875858	1.7460938
10.111048	-51.686836	1.7558594
10.112749	-48.518932	1.765625
10.113528	-56.98576	1.7753906
10.113981	-58.939384	1.7851563
10.115102	-57.78014	1.7949219
