MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_090_r0			Time:	20.020508	s	4/15/2019 2:56:36 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.982317	-108.07839	0.025634766
9.9808578	-109.32956	0.035400391
9.9810019	-115.89909	0.045166016
9.9820995	-115.33049	0.054931641
9.9813833	-111.23488	0.064697266
9.9811268	-111.10434	0.074462891
9.9821863	-105.69273	0.084228516
9.98246	-106.12201	0.093994141
9.9830971	-107.72932	0.10375977
9.9841051	-113.54613	0.11352539
9.98489	-117.28513	0.12329102
9.9860945	-109.37508	0.13305664
9.987071	-102.64754	0.14282227
9.9870319	-102.37421	0.15258789
9.9879341	-104.61388	0.16235352
9.989522	-110.00285	0.17211914
9.9903088	-111.27795	0.18188477
9.989296	-108.58064	0.19165039
9.9912453	-102.21736	0.20141602
9.9921188	-97.508507	0.21118164
9.9927502	-99.099564	0.22094727
9.9942284	-102.35382	0.23071289
9.9952412	-109.49725	0.24047852
9.9965153	-106.85136	0.25024414
9.9957762	-100.21508	0.26000977
9.9978065	-94.438248	0.26977539
9.998311	-98.0494	0.27954102
9.998805	-101.03604	0.28930664
9.9988537	-102.51585	0.29907227
10.000775	-103.23993	0.30883789
10.00109	-98.678329	0.31860352
10.002457	-97.433487	0.32836914
10.002337	-89.710083	0.33813477
10.003447	-92.864487	0.34790039
10.005159	-102.31245	0.35766602
10.004786	-100.61951	0.36743164
10.005629	-98.295685	0.37719727
10.007202	-91.020889	0.38696289
10.008656	-91.032074	0.39672852
10.007977	-90.927246	0.40649414
10.009886	-91.936058	0.41625977
10.010366	-97.981354	0.42602539
10.011456	-96.507996	0.43579102
10.011923	-93.486389	0.44555664
10.013203	-87.318741	0.45532227
10.012991	-84.065346	0.46508789
10.01512	-88.64238	0.47485352
10.016127	-91.476257	0.48461914
10.016624	-93.729469	0.49438477
10.017354	-90.756355	0.50415039
10.017516	-86.55619	0.51391602
10.018769	-86.098892	0.52368164
10.019766	-83.798332	0.53344727
10.01958	-85.141151	0.54321289
10.020088	-89.924492	0.55297852
10.021008	-91.985176	0.56274414
10.022602	-86.671043	0.57250977
10.023482	-79.237144	0.58227539
10.024674	-79.151657	0.59204102
10.024743	-81.377632	0.60180664
10.025463	-85.742325	0.61157227
10.025625	-86.757774	0.62133789
10.027867	-84.577721	0.63110352
10.028811	-79.380028	0.64086914
10.029233	-77.358559	0.65063477
10.029624	-75.024719	0.66040039
10.030571	-78.777077	0.67016602
10.03103	-86.299095	0.67993164
10.032626	-84.009155	0.68969727
10.033134	-78.253967	0.69946289
10.03395	-72.341553	0.70922852
10.03347	-70.054703	0.71899414
10.035233	-76.986275	0.72875977
10.036023	-79.333275	0.73852539
10.037192	-80.633224	0.74829102
10.037258	-78.245277	0.75805664
10.03919	-70.51033	0.76782227
10.039477	-67.658218	0.77758789
10.040915	-68.598824	0.78735352
10.040464	-77.430527	0.79711914
10.040985	-81.094391	0.80688477
10.043337	-76.767891	0.81665039
10.044262	-69.679535	0.82641602
10.044519	-64.633148	0.83618164
10.0453	-66.205406	0.84594727
10.046078	-70.454376	0.85571289
10.046495	-73.478378	0.86547852
10.047054	-74.184242	0.87524414
10.048176	-68.163918	0.88500977
10.049574	-63.451462	0.89477539
10.050859	-60.374985	0.90454102
10.050629	-64.43428	0.91430664
10.052362	-71.867439	0.92407227
10.051604	-71.563843	0.93383789
10.053191	-64.79361	0.94360352
10.054052	-58.841785	0.95336914
10.055052	-58.830215	0.96313477
10.056488	-61.302906	0.97290039
10.05648	-62.975071	0.98266602
10.057535	-65.929886	0.99243164
10.058112	-66.016548	1.0021973
10.058625	-59.384888	1.0119629
10.059884	-55.614849	1.0217285
10.060303	-55.029938	1.0314941
10.061508	-61.017391	1.0412598
10.061698	-62.969433	1.0510254
10.063793	-62.107994	1.060791
10.063865	-56.065796	1.0705566
10.064528	-55.147907	1.0803223
10.065523	-51.93652	1.0900879
10.06676	-52.879921	1.0998535
10.067407	-57.252674	1.1096191
10.068803	-57.634098	1.1193848
10.068009	-59.19347	1.1291504
10.070363	-52.621529	1.138916
10.07017	-47.184746	1.1486816
10.072075	-49.944931	1.1584473
10.072478	-51.324303	1.1682129
10.072511	-55.608643	1.1779785
10.073842	-51.839661	1.1877441
10.074813	-49.198917	1.1975098
10.075646	-48.955482	1.2072754
10.076112	-44.81673	1.217041
10.076866	-45.326462	1.2268066
10.077892	-50.663677	1.2365723
10.078193	-54.204311	1.2463379
10.079072	-51.814533	1.2561035
10.079741	-42.605301	1.2658691
10.08141	-39.827744	1.2756348
10.081902	-42.832912	1.2854004
10.082868	-46.492943	1.295166
10.082772	-49.715164	1.3049316
10.083913	-46.915863	1.3146973
10.085717	-45.205357	1.3244629
10.085584	-40.242992	1.3342285
10.086958	-35.394951	1.3439941
10.088192	-40.087887	1.3537598
10.088487	-47.306885	1.3635254
10.088722	-48.541306	1.373291
10.090069	-42.197479	1.3830566
10.091207	-35.332169	1.3928223
10.090702	-34.736622	1.4025879
10.092182	-38.293617	1.4123535
10.093584	-40.516102	1.4221191
10.094553	-42.497776	1.4318848
10.095698	-42.432041	1.4416504
10.096119	-35.275974	1.451416
10.09683	-31.316135	1.4611816
10.097445	-29.695862	1.4709473
10.097782	-36.388264	1.4807129
10.098777	-42.30489	1.4904785
10.099822	-38.424622	1.5002441
10.10171	-33.672695	1.5100098
10.101423	-26.011877	1.5197754
10.10331	-28.774414	1.529541
10.10251	-31.499523	1.5393066
10.103972	-32.628311	1.5490723
10.104203	-37.610813	1.5588379
10.106326	-30.867859	1.5686035
10.106627	-26.777826	1.5783691
10.107285	-24.272863	1.5881348
10.108822	-24.036386	1.5979004
10.109653	-33.909866	1.607666
10.109191	-32.856277	1.6174316
10.110195	-30.068447	1.6271973
10.110871	-25.960539	1.6369629
10.11155	-22.36816	1.6467285
10.112733	-23.101755	1.6564941
10.11379	-24.102783	1.6662598
10.115197	-27.006618	1.6760254
10.115763	-27.835651	1.685791
10.116112	-24.544638	1.6955566
10.117136	-19.904543	1.7053223
10.117832	-16.160612	1.7150879
10.118941	-21.806458	1.7248535
10.119487	-23.636448	1.7346191
10.119251	-25.843134	1.7443848
10.120938	-21.8843	1.7541504
10.121594	-18.998278	1.763916
10.121633	-15.370138	1.7736816
10.123499	-13.99411	1.7834473
10.124166	-17.307112	1.7932129
