MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_4545_r0			Time:	20.022217	s	4/14/2019 4:17:34 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9524517	-123.84415	0.026367188
9.9537868	-110.14209	0.036132813
9.953825	-102.36395	0.045898438
9.9540424	-115.12289	0.055664063
9.9537954	-128.70967	0.065429688
9.9535341	-137.51942	0.075195313
9.9535456	-132.49361	0.084960938
9.9546232	-112.81094	0.094726563
9.9559422	-105.13983	0.10449219
9.9575539	-106.74605	0.11425781
9.9577656	-121.32561	0.12402344
9.958128	-132.28461	0.13378906
9.9590034	-127.91966	0.14355469
9.9588461	-119.93343	0.15332031
9.9604626	-105.34783	0.16308594
9.9608564	-102.15638	0.17285156
9.9610767	-110.95529	0.18261719
9.9631872	-124.64292	0.19238281
9.9644136	-131.05194	0.20214844
9.9640684	-121.60001	0.21191406
9.965064	-103.72426	0.22167969
9.9671593	-99.319977	0.23144531
9.9676561	-105.11942	0.24121094
9.968667	-118.20568	0.25097656
9.968708	-126.85204	0.26074219
9.9695988	-122.55479	0.27050781
9.9700632	-109.34814	0.28027344
9.9705286	-97.291039	0.29003906
9.9721956	-97.512695	0.29980469
9.9730091	-110.54429	0.30957031
9.9732695	-122.76112	0.31933594
9.9739714	-123.42563	0.32910156
9.9752588	-111.96767	0.33886719
9.9765759	-97.876877	0.34863281
9.9772787	-95.817009	0.35839844
9.9772921	-102.99537	0.36816406
9.9781113	-114.22624	0.37792969
9.9798002	-122.70786	0.38769531
9.9799604	-114.37048	0.39746094
9.9806337	-102.27599	0.40722656
9.980793	-90.629295	0.41699219
9.9825268	-94.073563	0.42675781
9.9829807	-110.84515	0.43652344
9.9846888	-116.28193	0.44628906
9.9853573	-116.28114	0.45605469
9.985815	-103.28265	0.46582031
9.9856396	-92.775314	0.47558594
9.9873047	-94.052956	0.48535156
9.9883022	-98.096588	0.49511719
9.9887829	-111.92081	0.50488281
9.9906063	-115.54837	0.51464844
9.9907675	-108.4977	0.52441406
9.9904032	-95.662239	0.53417969
9.9927263	-84.82235	0.54394531
9.9930696	-94.028801	0.55371094
9.9933538	-102.95089	0.56347656
9.9944115	-109.91589	0.57324219
9.9958248	-108.96452	0.58300781
9.9953089	-95.823845	0.59277344
9.997118	-87.107231	0.60253906
9.9980907	-85.856834	0.61230469
9.9990387	-92.058678	0.62207031
9.9998064	-105.28167	0.63183594
10.001081	-109.11705	0.64160156
10.001165	-99.483406	0.65136719
10.000953	-85.723579	0.66113281
10.003185	-81.02652	0.67089844
10.00359	-85.911346	0.68066406
10.00486	-98.754784	0.69042969
10.005745	-104.78968	0.70019531
10.006063	-101.26747	0.70996094
10.006343	-90.52861	0.71972656
10.007337	-78.636032	0.72949219
10.008746	-79.81176	0.73925781
10.009503	-88.391747	0.74902344
10.01123	-101.3129	0.75878906
10.011588	-103.3649	0.76855469
10.011661	-89.393478	0.77832031
10.013134	-78.019096	0.78808594
10.013817	-74.743675	0.79785156
10.015084	-83.276718	0.80761719
10.016191	-95.887062	0.81738281
10.016005	-97.283783	0.82714844
10.017233	-96.054985	0.83691406
10.018654	-78.902992	0.84667969
10.018813	-70.802528	0.85644531
10.01913	-74.292305	0.86621094
10.019754	-87.373894	0.87597656
10.021669	-99.546837	0.88574219
10.021132	-95.263145	0.89550781
10.022999	-79.053352	0.90527344
10.024337	-69.234001	0.91503906
10.024722	-68.000923	0.92480469
10.026243	-82.083534	0.93457031
10.025504	-90.05143	0.94433594
10.027123	-92.961388	0.95410156
10.027575	-84.627396	0.96386719
10.028241	-70.383568	0.97363281
10.029827	-63.569115	0.98339844
10.030738	-72.834198	0.99316406
10.030261	-85.172684	1.0029297
10.031823	-91.614525	1.0126953
10.032477	-84.171364	1.0224609
10.033051	-70.682846	1.0322266
10.034322	-63.961319	1.0419922
10.035169	-66.513885	1.0517578
10.036163	-75.974678	1.0615234
10.036819	-85.854614	1.0712891
10.037481	-84.126228	1.0810547
10.039385	-76.558144	1.0908203
10.039006	-61.046295	1.1005859
10.040015	-58.20433	1.1103516
10.040587	-70.024574	1.1201172
10.041951	-78.365395	1.1298828
10.042559	-83.120087	1.1396484
10.044023	-76.069656	1.1494141
10.044271	-62.644058	1.1591797
10.044468	-58.236107	1.1689453
10.046124	-59.171844	1.1787109
10.047284	-70.672455	1.1884766
10.047821	-79.607231	1.1982422
10.048174	-78.372063	1.2080078
10.04937	-68.691414	1.2177734
10.051044	-52.829651	1.2275391
10.049527	-55.174702	1.2373047
10.051091	-61.789688	1.2470703
10.05321	-73.23555	1.2568359
10.053166	-77.31163	1.2666016
10.054494	-66.20417	1.2763672
10.054	-58.148727	1.2861328
10.055509	-51.845242	1.2958984
10.05641	-53.939163	1.3056641
10.057117	-67.665192	1.3154297
10.058236	-75.006943	1.3251953
10.058911	-71.710152	1.3349609
10.059759	-58.129372	1.3447266
10.060033	-47.585026	1.3544922
10.062287	-48.023888	1.3642578
10.061716	-59.62154	1.3740234
10.064188	-69.300339	1.3837891
10.064487	-69.164169	1.3935547
10.06461	-62.593704	1.4033203
10.065727	-46.920395	1.4130859
10.06685	-42.888931	1.4228516
10.067841	-49.900944	1.4326172
10.068004	-63.449314	1.4423828
10.069329	-71.313736	1.4521484
10.069194	-63.266979	1.4619141
10.070615	-48.653187	1.4716797
10.072272	-38.194828	1.4814453
10.072107	-44.671486	1.4912109
10.07274	-56.883007	1.5009766
10.074175	-63.373009	1.5107422
10.073287	-64.838562	1.5205078
10.075055	-48.314457	1.5302734
10.076442	-38.931629	1.5400391
10.077268	-34.779869	1.5498047
10.07774	-46.651878	1.5595703
10.079596	-64.263458	1.5693359
10.079119	-62.195492	1.5791016
10.080759	-51.282963	1.5888672
10.080497	-38.968575	1.5986328
10.081907	-33.936264	1.6083984
10.083038	-42.349072	1.6181641
10.083516	-50.981441	1.6279297
10.083924	-60.367283	1.6376953
10.085176	-55.05563	1.6474609
10.085861	-41.369389	1.6572266
10.086548	-31.619041	1.6669922
10.088056	-31.080444	1.6767578
10.088449	-46.652798	1.6865234
10.090161	-54.727039	1.6962891
10.090607	-52.144222	1.7060547
10.090928	-41.588654	1.7158203
10.092097	-32.455791	1.7255859
10.093302	-29.317736	1.7353516
10.094688	-37.308952	1.7451172
10.093931	-47.637306	1.7548828
10.094914	-52.35854	1.7646484
