Data Header:			0.254_solid_uprint_typei_4545_r0			Time:	20.017822	s	4/14/2019 4:25:27 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9577255	-120.76247	0.022460938
9.9576797	-109.33231	0.032226563
9.9570484	-98.898766	0.041992188
9.9576263	-102.50751	0.051757813
9.9591866	-116.64899	0.061523438
9.958972	-119.73643	0.071289063
9.9603434	-119.89758	0.081054688
9.9603415	-110.79092	0.090820313
9.9617472	-101.83922	0.10058594
9.9637461	-102.29699	0.11035156
9.9635954	-106.52998	0.12011719
9.963459	-115.22169	0.12988281
9.9645586	-116.82025	0.13964844
9.9658871	-113.05534	0.14941406
9.9661007	-105.23396	0.15917969
9.9679041	-94.620651	0.16894531
9.9675474	-100.11111	0.17871094
9.9691401	-106.9978	0.18847656
9.9693756	-115.39637	0.19824219
9.9711781	-114.66823	0.20800781
9.9709749	-102.91303	0.21777344
9.9727955	-98.50515	0.22753906
9.9729538	-96.535919	0.23730469
9.9736013	-100.73576	0.24707031
9.9742222	-110.09449	0.25683594
9.9745808	-113.30038	0.26660156
9.9762897	-107.00994	0.27636719
9.976613	-95.156471	0.28613281
9.9779034	-88.723083	0.29589844
9.9792786	-93.66227	0.30566406
9.9790001	-105.16286	0.31542969
9.9805136	-108.59012	0.32519531
9.9807806	-105.83117	0.33496094
9.9815779	-97.960228	0.34472656
9.9829082	-88.473564	0.35449219
9.9838619	-86.890694	0.36425781
9.9842796	-95.44236	0.37402344
9.9845142	-106.16327	0.38378906
9.9862909	-108.12218	0.39355469
9.9867506	-97.371735	0.40332031
9.9870605	-86.426949	0.41308594
9.9880342	-83.332069	0.42285156
9.9888268	-90.928467	0.43261719
9.9911509	-100.0614	0.44238281
9.9898462	-101.95366	0.45214844
9.9910564	-99.549965	0.46191406
9.9918299	-85.681442	0.47167969
9.99263	-81.0476	0.48144531
9.9941607	-81.880409	0.49121094
9.9948473	-92.654015	0.50097656
9.9952364	-103.75183	0.51074219
9.9963636	-97.402	0.52050781
9.9974985	-87.541267	0.53027344
9.9982738	-78.288422	0.54003906
9.998868	-79.177345	0.54980469
9.9995852	-87.977768	0.55957031
10.001335	-93.918808	0.56933594
10.000512	-97.559296	0.57910156
10.001585	-90.645584	0.58886719
10.002942	-80.181061	0.59863281
10.003696	-74.374596	0.60839844
10.004189	-77.501694	0.61816406
10.004668	-90.866844	0.62792969
10.006254	-95.400276	0.63769531
10.006914	-88.463661	0.64746094
10.00868	-80.639084	0.65722656
10.008806	-72.077698	0.66699219
10.008886	-75.53949	0.67675781
10.009515	-81.893875	0.68652344
10.011049	-86.065521	0.69628906
10.011442	-89.240921	0.70605469
10.01299	-83.047729	0.71582031
10.013111	-70.952263	0.72558594
10.013474	-68.319397	0.73535156
10.015134	-75.139824	0.74511719
10.016406	-82.918808	0.75488281
10.016297	-87.936562	0.76464844
10.017226	-80.971809	0.77441406
10.018788	-71.730087	0.78417969
10.018518	-66.700989	0.79394531
10.019547	-68.127106	0.80371094
10.020292	-75.562355	0.81347656
10.021307	-82.335533	0.82324219
10.022724	-83.192078	0.83300781
10.022843	-72.990738	0.84277344
10.023403	-62.573627	0.85253906
10.024216	-64.547394	0.86230469
10.025364	-67.730812	0.87207031
10.026286	-79.224075	0.88183594
10.0273	-80.022995	0.89160156
10.027416	-72.700516	0.90136719
10.029284	-67.053223	0.91113281
10.029121	-58.401474	0.92089844
10.030309	-59.956066	0.93066406
10.031087	-69.944946	0.94042969
10.032351	-78.94603	0.95019531
10.032423	-77.139763	0.95996094
10.034064	-64.775833	0.96972656
10.035399	-56.382858	0.97949219
10.035182	-56.894257	0.98925781
10.036406	-65.172836	0.99902344
10.036471	-72.533096	1.0087891
10.037372	-74.104721	1.0185547
10.038698	-67.135384	1.0283203
10.039888	-56.830334	1.0380859
10.040005	-49.111622	1.0478516
10.040554	-55.48719	1.0576172
10.041274	-66.929756	1.0673828
10.042698	-73.117691	1.0771484
10.043671	-67.369423	1.0869141
10.044129	-54.053234	1.0966797
10.045664	-47.683262	1.1064453
10.045098	-52.898636	1.1162109
10.047064	-59.32613	1.1259766
10.046548	-67.180237	1.1357422
10.048406	-68.146515	1.1455078
10.048079	-55.788273	1.1552734
10.050324	-47.026016	1.1650391
10.05066	-43.711212	1.1748047
10.051832	-53.224243	1.1845703
10.053071	-66.096886	1.1943359
10.052176	-66.555191	1.2041016
10.053712	-58.114288	1.2138672
10.053586	-45.044964	1.2236328
10.056741	-43.185616	1.2333984
10.057109	-47.465641	1.2431641
10.057477	-54.965961	1.2529297
10.056734	-63.767635	1.2626953
10.057814	-57.554077	1.2724609
10.059773	-47.935566	1.2822266
10.060478	-38.987198	1.2919922
10.062066	-38.039795	1.3017578
10.061503	-53.247578	1.3115234
10.062918	-56.975891	1.3212891
10.065373	-56.569477	1.3310547
10.063974	-47.545078	1.3408203
10.065136	-37.589211	1.3505859
10.066045	-38.227512	1.3603516
10.066874	-41.368568	1.3701172
10.067544	-49.893616	1.3798828
10.068452	-54.696434	1.3896484
10.070217	-50.378643	1.3994141
10.070027	-39.478638	1.4091797
10.071368	-32.964474	1.4189453
10.0713	-37.394524	1.4287109
10.073311	-44.991459	1.4384766
10.073779	-51.928574	1.4482422
10.074281	-49.28051	1.4580078
10.075544	-42.989632	1.4677734
10.07551	-32.829517	1.4775391
10.076216	-30.184092	1.4873047
10.077921	-35.59985	1.4970703
10.07835	-43.604298	1.5068359
10.078851	-51.18251	1.5166016
10.079843	-42.771473	1.5263672
10.080473	-29.678587	1.5361328
10.082046	-27.118629	1.5458984
10.083226	-27.848577	1.5556641
10.082952	-39.879944	1.5654297
10.083441	-43.490807	1.5751953
10.084493	-43.022255	1.5849609
10.086498	-34.830391	1.5947266
10.08666	-22.707409	1.6044922
10.087525	-22.760727	1.6142578
10.088058	-31.351816	1.6240234
10.089094	-40.285156	1.6337891
10.089664	-44.204735	1.6435547
10.090667	-32.870674	1.6533203
10.090883	-23.449154	1.6630859
10.092259	-18.127176	1.6728516
10.093264	-25.747799	1.6826172
10.093104	-35.420254	1.6923828
10.094029	-37.359249	1.7021484
10.094981	-36.476421	1.7119141
10.095806	-24.313639	1.7216797
10.097216	-13.512259	1.7314453
10.098836	-16.668594	1.7412109
10.099349	-27.474987	1.7509766
10.100105	-36.787533	1.7607422
10.100395	-35.532158	1.7705078
10.101065	-22.47407	1.7802734
