MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_090_r0			Time:	20.017334	s	4/14/2019 1:14:07 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.040844	-30.530445	0.022216797
-40.04179	-25.665224	0.031982422
-40.041409	-23.687786	0.041748047
-40.041248	-22.764215	0.051513672
-40.041401	-26.349884	0.061279297
-40.041592	-25.950752	0.071044922
-40.041355	-27.227001	0.080810547
-40.040886	-29.62788	0.090576172
-40.040321	-24.609688	0.1003418
-40.038261	-20.897959	0.11010742
-40.0387	-20.300451	0.11987305
-40.038677	-23.052353	0.12963867
-40.03656	-28.042572	0.1394043
-40.036774	-25.744246	0.14916992
-40.034813	-24.162584	0.15893555
-40.034733	-19.179066	0.16870117
-40.033058	-19.755798	0.1784668
-40.032429	-19.931356	0.18823242
-40.032833	-18.68075	0.19799805
-40.030567	-23.342115	0.20776367
-40.031296	-20.416313	0.2175293
-40.030056	-18.62421	0.22729492
-40.029037	-16.154554	0.23706055
-40.028053	-15.43957	0.24682617
-40.028008	-19.809477	0.2565918
-40.025475	-19.07266	0.26635742
-40.025158	-18.025316	0.27612305
-40.023735	-15.459001	0.28588867
-40.024261	-14.633758	0.2956543
-40.02282	-11.943191	0.30541992
-40.022102	-12.330049	0.31518555
-40.021336	-12.95152	0.32495117
-40.01992	-15.531104	0.3347168
-40.02013	-16.188389	0.34448242
-40.020138	-10.005056	0.35424805
-40.018322	-8.5979147	0.36401367
-40.018391	-9.5154161	0.3737793
-40.017002	-10.533792	0.38354492
-40.015556	-12.688198	0.39331055
-40.015411	-11.029086	0.40307617
-40.013794	-11.383777	0.4128418
-40.014027	-9.2141256	0.42260742
-40.013599	-5.1388712	0.43237305
-40.011139	-5.4611239	0.44213867
-40.011497	-6.534194	0.4519043
-40.010258	-10.498164	0.46166992
-40.009914	-9.912776	0.47143555
-40.008564	-3.2566431	0.48120117
-40.007282	-3.2494035	0.4909668
-40.006081	-4.2611618	0.50073242
-40.005489	-4.4874787	0.51049805
-40.003925	-6.8241854	0.52026367
-40.004204	-5.6542163	0.5300293
-40.00338	-6.000062	0.53979492
-40.003483	-0.071847387	0.54956055
-40.002369	3.6978393	0.55932617
-40.000866	0.10940737	0.5690918
-40.000977	-4.0429225	0.57885742
-40.000092	-4.8942947	0.58862305
-39.999504	-1.8925458	0.59838867
-39.998142	3.1906035	0.6081543
-39.996208	4.592555	0.61791992
-39.995827	3.5269828	0.62768555
-39.995457	0.41062522	0.63745117
-39.993736	-0.83327067	0.6472168
-39.993656	-0.27294582	0.65698242
-39.992729	3.3180444	0.66674805
-39.992226	7.596137	0.67651367
-39.99144	9.0700064	0.6862793
-39.99099	4.1718922	0.69604492
-39.990063	1.1695939	0.70581055
-39.989456	2.3317745	0.71557617
-39.987129	5.7741027	0.7253418
-39.987614	11.457285	0.73510742
-39.986286	9.2059813	0.74487305
-39.985664	8.2999144	0.75463867
-39.985435	8.5244398	0.7644043
-39.984234	5.3342795	0.77416992
-39.982086	9.2971115	0.78393555
-39.981705	10.044562	0.79370117
-39.981796	14.623915	0.8034668
-39.98053	14.28709	0.81323242
-39.980484	7.3949146	0.82299805
-39.980042	7.7109113	0.83276367
-39.978115	11.039512	0.8425293
-39.977093	14.221946	0.85229492
-39.976959	16.395977	0.86206055
-39.97533	14.53465	0.87182617
-39.974751	16.489017	0.8815918
-39.973709	14.486428	0.89135742
-39.974739	12.511992	0.90112305
-39.972374	12.732448	0.91088867
-39.971691	17.932463	0.9206543
-39.971848	20.888166	0.93041992
-39.970501	17.502491	0.94018555
-39.96883	16.072689	0.94995117
-39.967949	16.770826	0.9597168
-39.968449	17.589228	0.96948242
-39.966049	21.561354	0.97924805
-39.967442	21.674383	0.98901367
-39.965218	22.359747	0.9987793
-39.963951	22.648407	1.0085449
-39.964375	20.546625	1.0183105
-39.96278	17.475836	1.0280762
-39.962341	20.168207	1.0378418
-39.960842	25.634186	1.0476074
-39.960171	25.840265	1.057373
-39.959671	27.384836	1.0671387
-39.958881	21.336432	1.0769043
-39.958378	24.583979	1.0866699
-39.957489	22.500517	1.0964355
-39.955948	24.274158	1.1062012
-39.956005	29.375784	1.1159668
-39.954437	30.302099	1.1257324
-39.953957	29.542608	1.135498
-39.953541	25.118675	1.1452637
-39.953163	23.584835	1.1550293
-39.951927	30.047369	1.1647949
-39.950939	33.644279	1.1745605
-39.950451	33.750103	1.1843262
-39.949291	32.340031	1.1940918
-39.948071	29.383842	1.2038574
-39.946823	30.910738	1.213623
-39.946865	29.203007	1.2233887
-39.945534	34.44582	1.2331543
-39.945007	39.024845	1.2429199
-39.944595	36.684532	1.2526855
-39.943752	34.237572	1.2624512
-39.942337	27.753807	1.2722168
-39.940575	31.902235	1.2819824
-39.940979	40.203491	1.291748
-39.940346	39.87759	1.3015137
-39.939144	39.289356	1.3112793
-39.937653	36.421429	1.3210449
-39.936954	35.175289	1.3308105
-39.935402	35.474506	1.3405762
-39.935715	39.475609	1.3503418
-39.93486	41.498325	1.3601074
-39.934479	44.014606	1.369873
-39.933838	41.754623	1.3796387
-39.931732	38.155903	1.3894043
-39.931271	37.176544	1.3991699
-39.931259	41.339649	1.4089355
-39.930653	46.357075	1.4187012
-39.929092	43.696899	1.4284668
-39.928303	43.636436	1.4382324
-39.927368	42.113808	1.447998
-39.92701	42.06007	1.4577637
-39.926781	43.456875	1.4675293
-39.925442	44.094074	1.4772949
-39.924042	49.466137	1.4870605
-39.924122	51.054913	1.4968262
-39.923485	44.962227	1.5065918
-39.922459	45.124535	1.5163574
-39.921333	45.771019	1.526123
-39.92086	49.537598	1.5358887
-39.919601	51.132042	1.5456543
-39.920994	49.412994	1.5554199
-39.917797	51.911549	1.5651855
-39.917648	50.832691	1.5749512
-39.916687	47.688824	1.5847168
-39.915775	47.965012	1.5944824
-39.9142	50.637882	1.604248
-39.913239	56.55978	1.6140137
-39.912548	54.654301	1.6237793
-39.912075	53.488331	1.6335449
-39.912468	51.173531	1.6433105
-39.909973	51.580513	1.6530762
-39.910152	54.04097	1.6628418
-39.911427	55.76347	1.6726074
-39.908604	57.187595	1.682373
-39.907692	59.491985	1.6921387
-39.906128	57.566902	1.7019043
-39.907173	54.141518	1.7116699
-39.906162	54.690987	1.7214355
-39.904221	59.073334	1.7312012
-39.903446	62.075943	1.7409668
