MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_4545_r0			Time:	20.022217	s	4/13/2019 6:41:55 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	Type IV_Monotonic.tst
Displacement	Force	Running Time
mm	N	s
-40.050411	-184.79333	0.025878906
-40.050877	-179.36633	0.035644531
-40.050121	-167.96977	0.045410156
-40.050297	-156.72182	0.055175781
-40.051315	-161.06091	0.064941406
-40.050316	-171.67387	0.074707031
-40.049854	-183.85939	0.084472656
-40.049725	-184.70285	0.094238281
-40.048759	-169.29012	0.10400391
-40.047878	-156.92523	0.11376953
-40.047813	-155.7919	0.12353516
-40.046261	-166.96904	0.13330078
-40.046001	-177.61949	0.14306641
-40.044971	-178.75307	0.15283203
-40.043941	-172.68022	0.16259766
-40.044201	-158.36768	0.17236328
-40.041771	-152.33495	0.18212891
-40.041733	-157.16154	0.19189453
-40.040531	-169.67474	0.20166016
-40.040054	-177.55052	0.21142578
-40.039745	-173.73978	0.22119141
-40.038567	-158.18564	0.23095703
-40.037567	-148.14767	0.24072266
-40.036396	-151.56247	0.25048828
-40.036518	-162.0553	0.26025391
-40.035175	-170.69583	0.27001953
-40.034203	-171.02757	0.27978516
-40.034149	-160.96448	0.28955078
-40.03281	-151.96892	0.29931641
-40.0327	-145.10033	0.30908203
-40.032005	-151.56496	0.31884766
-40.030445	-166.34218	0.32861328
-40.029179	-168.74777	0.33837891
-40.029163	-162.57051	0.34814453
-40.02763	-149.55255	0.35791016
-40.027355	-143.31358	0.36767578
-40.024078	-147.5423	0.37744141
-40.025085	-156.88089	0.38720703
-40.024326	-163.11728	0.39697266
-40.02383	-160.13252	0.40673828
-40.022736	-152.21754	0.41650391
-40.022541	-142.04359	0.42626953
-40.021252	-137.73874	0.43603516
-40.019592	-148.9236	0.44580078
-40.019558	-157.43753	0.45556641
-40.018219	-161.91304	0.46533203
-40.018196	-152.3866	0.47509766
-40.016735	-142.79662	0.48486328
-40.017014	-137.65779	0.49462891
-40.015305	-141.43163	0.50439453
-40.015816	-149.10732	0.51416016
-40.014538	-156.38939	0.52392578
-40.014038	-155.99339	0.53369141
-40.01342	-144.38747	0.54345703
-40.010887	-132.11179	0.55322266
-40.011612	-133.14745	0.56298828
-40.010502	-140.08754	0.57275391
-40.009354	-152.45442	0.58251953
-40.00869	-153.87408	0.59228516
-40.008038	-144.77646	0.60205078
-40.007576	-134.87975	0.61181641
-40.006268	-126.57977	0.62158203
-40.004223	-134.04822	0.63134766
-40.004623	-144.2184	0.64111328
-40.004158	-151.65385	0.65087891
-40.00301	-148.08687	0.66064453
-40.002365	-135.0816	0.67041016
-40.001572	-124.01899	0.68017578
-40.000713	-125.73734	0.68994141
-39.999748	-138.80667	0.69970703
-39.998661	-146.30901	0.70947266
-39.998192	-144.73785	0.71923828
-39.996292	-136.29146	0.72900391
-39.993542	-122.70492	0.73876953
-39.994858	-121.89	0.74853516
-39.99424	-127.21593	0.75830078
-39.99477	-139.37253	0.76806641
-39.992462	-146.71214	0.77783203
-39.992775	-137.93362	0.78759766
-39.99052	-122.04212	0.79736328
-39.990261	-115.45154	0.80712891
-39.990093	-122.02841	0.81689453
-39.9879	-134.57545	0.82666016
-39.988041	-139.39539	0.83642578
-39.988075	-137.33934	0.84619141
-39.986225	-125.26389	0.85595703
-39.986393	-114.85683	0.86572266
-39.98452	-114.40299	0.87548828
-39.983761	-124.44344	0.88525391
-39.983025	-135.80093	0.89501953
-39.981213	-137.11951	0.90478516
-39.98122	-125.5295	0.91455078
-39.980484	-113.62109	0.92431641
-39.979221	-111.95074	0.93408203
-39.978283	-116.79832	0.94384766
-39.977848	-129.28656	0.95361328
-39.977558	-132.35818	0.96337891
-39.976913	-126.82478	0.97314453
-39.976364	-117.91817	0.98291016
-39.975342	-108.62766	0.99267578
-39.973969	-109.71199	1.0024414
-39.972698	-121.57859	1.012207
-39.973827	-126.48182	1.0219727
-39.972183	-128.99561	1.0317383
-39.969742	-116.23637	1.0415039
-39.969852	-107.10298	1.0512695
-39.96867	-105.99361	1.0610352
-39.967999	-110.87036	1.0708008
-39.967911	-122.03409	1.0805664
-39.966228	-124.69187	1.090332
-39.965973	-120.38088	1.1000977
-39.966835	-108.42043	1.1098633
-39.965225	-99.733315	1.1196289
-39.964088	-104.58897	1.1293945
-39.96323	-113.32059	1.1391602
-39.961292	-124.49837	1.1489258
-39.962208	-120.00208	1.1586914
-39.960217	-108.57873	1.168457
-39.960388	-101.41373	1.1782227
-39.958397	-100.18027	1.1879883
-39.957561	-105.78166	1.1977539
-39.957157	-114.93995	1.2075195
-39.957123	-119.32138	1.2172852
-39.955807	-112.34523	1.2270508
-39.954758	-99.341888	1.2368164
-39.952942	-91.691452	1.246582
-39.953461	-97.800056	1.2563477
-39.952461	-110.40958	1.2661133
-39.951195	-116.33928	1.2758789
-39.950848	-113.33744	1.2856445
-39.950382	-101.53294	1.2954102
-39.947887	-91.178604	1.3051758
-39.948315	-91.367409	1.3149414
-39.947582	-100.333	1.324707
-39.94622	-111.76368	1.3344727
-39.945747	-115.0504	1.3442383
-39.945126	-102.56548	1.3540039
-39.943855	-90.189072	1.3637695
-39.942844	-83.864555	1.3735352
-39.942516	-94.895706	1.3833008
-39.942101	-104.7036	1.3930664
-39.939896	-111.36378	1.402832
-39.93943	-103.58705	1.4125977
-39.939735	-88.459976	1.4223633
-39.938488	-83.356133	1.4321289
-39.937859	-84.583786	1.4418945
-39.93716	-95.032707	1.4516602
-39.937202	-108.00699	1.4614258
-39.934792	-102.88094	1.4711914
-39.933357	-91.650932	1.480957
-39.934067	-78.870941	1.4907227
-39.93314	-80.7509	1.5004883
-39.932106	-92.532944	1.5102539
-39.931534	-101.00511	1.5200195
-39.930626	-98.557487	1.5297852
-39.931015	-92.107941	1.5395508
-39.928661	-83.567314	1.5493164
-39.928963	-75.696808	1.559082
-39.927238	-79.493118	1.5688477
-39.92704	-93.841652	1.5786133
-39.925591	-98.12571	1.5883789
-39.924763	-93.933929	1.5981445
-39.924904	-82.329277	1.6079102
-39.922924	-74.097504	1.6176758
-39.921844	-77.061363	1.6274414
-39.922455	-85.046181	1.637207
-39.920597	-90.458885	1.6469727
-39.919483	-92.277191	1.6567383
-39.918114	-85.12941	1.6665039
-39.917316	-73.043159	1.6762695
-39.916801	-67.720421	1.6860352
-39.917385	-76.225876	1.6958008
-39.916588	-85.08252	1.7055664
